time_ms,ambient_temp_c,engine_load,vehicle_speed_kph,coolant_temp_true_c,coolant_temp_meas_c,radiator_temp_true_c,radiator_temp_meas_c,pump_command,pump_actual,fan_command,fan_actual,fault_mode,warning,critical,sensor_implausible,cooling_performance_low,actuator_fault,limp_home,emergency_cooling
0,25.00,0.350,35.00,88.00,88.00,78.00,78.00,0.323,0.323,0.000,0.000,0,0,0,0,0,0,0,0
100,25.00,0.350,35.00,87.63,87.63,59.45,59.45,0.313,0.313,0.000,0.000,0,0,0,0,0,0,0,0
200,25.00,0.350,35.00,87.27,87.27,59.25,59.25,0.304,0.304,0.000,0.000,0,0,0,0,0,0,0,0
300,25.00,0.350,35.00,86.92,86.92,59.06,59.06,0.296,0.296,0.000,0.000,0,0,0,0,0,0,0,0
400,25.00,0.350,35.00,86.58,86.58,58.87,58.87,0.287,0.287,0.000,0.000,0,0,0,0,0,0,0,0
500,25.00,0.350,35.00,86.25,86.25,58.69,58.69,0.279,0.279,0.000,0.000,0,0,0,0,0,0,0,0
600,25.00,0.350,35.00,85.93,85.93,58.51,58.51,0.271,0.271,0.000,0.000,0,0,0,0,0,0,0,0
700,25.00,0.350,35.00,85.62,85.62,58.34,58.34,0.263,0.263,0.000,0.000,0,0,0,0,0,0,0,0
800,25.00,0.350,35.00,85.31,85.31,58.17,58.17,0.255,0.255,0.000,0.000,0,0,0,0,0,0,0,0
900,25.00,0.350,35.00,85.02,85.02,58.01,58.01,0.248,0.248,0.000,0.000,0,0,0,0,0,0,0,0
1000,25.00,0.350,35.00,84.73,84.73,57.85,57.85,0.241,0.241,0.000,0.000,0,0,0,0,0,0,0,0
1100,25.00,0.350,35.00,84.45,84.45,57.70,57.70,0.234,0.234,0.000,0.000,0,0,0,0,0,0,0,0
1200,25.00,0.350,35.00,84.18,84.18,57.55,57.55,0.227,0.227,0.000,0.000,0,0,0,0,0,0,0,0
1300,25.00,0.350,35.00,83.91,83.91,57.40,57.40,0.220,0.220,0.000,0.000,0,0,0,0,0,0,0,0
1400,25.00,0.350,35.00,83.65,83.65,57.26,57.26,0.214,0.214,0.000,0.000,0,0,0,0,0,0,0,0
1500,25.00,0.350,35.00,83.40,83.40,57.12,57.12,0.207,0.207,0.000,0.000,0,0,0,0,0,0,0,0
1600,25.00,0.350,35.00,83.15,83.15,56.98,56.98,0.201,0.201,0.000,0.000,0,0,0,0,0,0,0,0
1700,25.00,0.350,35.00,82.91,82.91,56.85,56.85,0.195,0.195,0.000,0.000,0,0,0,0,0,0,0,0
1800,25.00,0.350,35.00,82.68,82.68,56.73,56.73,0.190,0.190,0.000,0.000,0,0,0,0,0,0,0,0
1900,25.00,0.350,35.00,82.46,82.46,56.60,56.60,0.184,0.184,0.000,0.000,0,0,0,0,0,0,0,0
2000,25.00,0.350,35.00,82.24,82.24,56.48,56.48,0.178,0.178,0.000,0.000,0,0,0,0,0,0,0,0
2100,25.00,0.350,35.00,82.02,82.02,56.36,56.36,0.173,0.173,0.000,0.000,0,0,0,0,0,0,0,0
2200,25.00,0.350,35.00,81.81,81.81,56.25,56.25,0.168,0.168,0.000,0.000,0,0,0,0,0,0,0,0
2300,25.00,0.350,35.00,81.61,81.61,56.14,56.14,0.163,0.163,0.000,0.000,0,0,0,0,0,0,0,0
2400,25.00,0.350,35.00,81.41,81.41,56.03,56.03,0.158,0.158,0.000,0.000,0,0,0,0,0,0,0,0
2500,25.00,0.350,35.00,81.22,81.22,55.92,55.92,0.153,0.153,0.000,0.000,0,0,0,0,0,0,0,0
2600,25.00,0.350,35.00,81.03,81.03,55.82,55.82,0.148,0.148,0.000,0.000,0,0,0,0,0,0,0,0
2700,25.00,0.350,35.00,80.85,80.85,55.72,55.72,0.144,0.144,0.000,0.000,0,0,0,0,0,0,0,0
2800,25.00,0.350,35.00,80.67,80.67,55.62,55.62,0.139,0.139,0.000,0.000,0,0,0,0,0,0,0,0
2900,25.00,0.350,35.00,80.50,80.50,55.53,55.53,0.135,0.135,0.000,0.000,0,0,0,0,0,0,0,0
3000,25.00,0.350,35.00,80.33,80.33,55.43,55.43,0.131,0.131,0.000,0.000,0,0,0,0,0,0,0,0
3100,25.00,0.350,35.00,80.17,80.17,55.34,55.34,0.127,0.127,0.000,0.000,0,0,0,0,0,0,0,0
3200,25.00,0.350,35.00,80.01,80.01,55.26,55.26,0.123,0.123,0.000,0.000,0,0,0,0,0,0,0,0
3300,25.00,0.350,35.00,79.86,79.86,55.17,55.17,0.119,0.119,0.000,0.000,0,0,0,0,0,0,0,0
3400,25.00,0.350,35.00,79.71,79.71,55.09,55.09,0.115,0.115,0.000,0.000,0,0,0,0,0,0,0,0
3500,25.00,0.350,35.00,79.56,79.56,55.01,55.01,0.112,0.112,0.000,0.000,0,0,0,0,0,0,0,0
3600,25.00,0.350,35.00,79.42,79.42,54.93,54.93,0.108,0.108,0.000,0.000,0,0,0,0,0,0,0,0
3700,25.00,0.350,35.00,79.28,79.28,54.85,54.85,0.104,0.104,0.000,0.000,0,0,0,0,0,0,0,0
3800,25.00,0.350,35.00,79.14,79.14,54.78,54.78,0.101,0.101,0.000,0.000,0,0,0,0,0,0,0,0
3900,25.00,0.350,35.00,79.01,79.01,54.71,54.71,0.098,0.098,0.000,0.000,0,0,0,0,0,0,0,0
4000,25.00,0.350,35.00,78.88,78.88,54.64,54.64,0.095,0.095,0.000,0.000,0,0,0,0,0,0,0,0
4100,25.00,0.350,35.00,78.76,78.76,54.57,54.57,0.091,0.091,0.000,0.000,0,0,0,0,0,0,0,0
4200,25.00,0.350,35.00,78.64,78.64,54.50,54.50,0.088,0.088,0.000,0.000,0,0,0,0,0,0,0,0
4300,25.00,0.350,35.00,78.52,78.52,54.44,54.44,0.086,0.086,0.000,0.000,0,0,0,0,0,0,0,0
4400,25.00,0.350,35.00,78.41,78.41,54.37,54.37,0.083,0.083,0.000,0.000,0,0,0,0,0,0,0,0
4500,25.00,0.350,35.00,78.29,78.29,54.31,54.31,0.080,0.080,0.000,0.000,0,0,0,0,0,0,0,0
4600,25.00,0.350,35.00,78.19,78.19,54.25,54.25,0.077,0.077,0.000,0.000,0,0,0,0,0,0,0,0
4700,25.00,0.350,35.00,78.08,78.08,54.19,54.19,0.074,0.074,0.000,0.000,0,0,0,0,0,0,0,0
4800,25.00,0.350,35.00,77.98,77.98,54.14,54.14,0.072,0.072,0.000,0.000,0,0,0,0,0,0,0,0
4900,25.00,0.350,35.00,77.88,77.88,54.08,54.08,0.069,0.069,0.000,0.000,0,0,0,0,0,0,0,0
5000,25.00,0.350,35.00,77.78,77.78,54.03,54.03,0.067,0.067,0.000,0.000,0,0,0,0,0,0,0,0
5100,25.00,0.350,35.00,77.68,77.68,53.98,53.98,0.065,0.065,0.000,0.000,0,0,0,0,0,0,0,0
5200,25.00,0.350,35.00,77.59,77.59,53.93,53.93,0.062,0.062,0.000,0.000,0,0,0,0,0,0,0,0
5300,25.00,0.350,35.00,77.50,77.50,53.88,53.88,0.060,0.060,0.000,0.000,0,0,0,0,0,0,0,0
5400,25.00,0.350,35.00,77.41,77.41,53.83,53.83,0.058,0.058,0.000,0.000,0,0,0,0,0,0,0,0
5500,25.00,0.350,35.00,77.33,77.33,53.78,53.78,0.056,0.056,0.000,0.000,0,0,0,0,0,0,0,0
5600,25.00,0.350,35.00,77.25,77.25,53.74,53.74,0.054,0.054,0.000,0.000,0,0,0,0,0,0,0,0
5700,25.00,0.350,35.00,77.16,77.16,53.69,53.69,0.052,0.052,0.000,0.000,0,0,0,0,0,0,0,0
5800,25.00,0.350,35.00,77.09,77.09,53.65,53.65,0.050,0.050,0.000,0.000,0,0,0,0,0,0,0,0
5900,25.00,0.350,35.00,77.01,77.01,53.61,53.61,0.048,0.048,0.000,0.000,0,0,0,0,0,0,0,0
6000,25.00,0.350,35.00,76.94,76.94,53.56,53.56,0.046,0.046,0.000,0.000,0,0,0,0,0,0,0,0
6100,25.00,0.350,35.00,76.86,76.86,53.52,53.52,0.044,0.044,0.000,0.000,0,0,0,0,0,0,0,0
6200,25.00,0.350,35.00,76.79,76.79,53.49,53.49,0.042,0.042,0.000,0.000,0,0,0,0,0,0,0,0
6300,25.00,0.350,35.00,76.72,76.72,53.45,53.45,0.041,0.041,0.000,0.000,0,0,0,0,0,0,0,0
6400,25.00,0.350,35.00,76.66,76.66,53.41,53.41,0.039,0.039,0.000,0.000,0,0,0,0,0,0,0,0
6500,25.00,0.350,35.00,76.59,76.59,53.38,53.38,0.037,0.037,0.000,0.000,0,0,0,0,0,0,0,0
6600,25.00,0.350,35.00,76.53,76.53,53.34,53.34,0.036,0.036,0.000,0.000,0,0,0,0,0,0,0,0
6700,25.00,0.350,35.00,76.47,76.47,53.31,53.31,0.034,0.034,0.000,0.000,0,0,0,0,0,0,0,0
6800,25.00,0.350,35.00,76.41,76.41,53.27,53.27,0.033,0.033,0.000,0.000,0,0,0,0,0,0,0,0
6900,25.00,0.350,35.00,76.35,76.35,53.24,53.24,0.031,0.031,0.000,0.000,0,0,0,0,0,0,0,0
7000,25.00,0.350,35.00,76.29,76.29,53.21,53.21,0.030,0.030,0.000,0.000,0,0,0,0,0,0,0,0
7100,25.00,0.350,35.00,76.24,76.24,53.18,53.18,0.028,0.028,0.000,0.000,0,0,0,0,0,0,0,0
7200,25.00,0.350,35.00,76.18,76.18,53.15,53.15,0.027,0.027,0.000,0.000,0,0,0,0,0,0,0,0
7300,25.00,0.350,35.00,76.13,76.13,53.12,53.12,0.026,0.026,0.000,0.000,0,0,0,0,0,0,0,0
7400,25.00,0.350,35.00,76.08,76.08,53.09,53.09,0.025,0.025,0.000,0.000,0,0,0,0,0,0,0,0
7500,25.00,0.350,35.00,76.03,76.03,53.07,53.07,0.023,0.023,0.000,0.000,0,0,0,0,0,0,0,0
7600,25.00,0.350,35.00,75.98,75.98,53.04,53.04,0.022,0.022,0.000,0.000,0,0,0,0,0,0,0,0
7700,25.00,0.350,35.00,75.94,75.94,53.01,53.01,0.021,0.021,0.000,0.000,0,0,0,0,0,0,0,0
7800,25.00,0.350,35.00,75.89,75.89,52.99,52.99,0.020,0.020,0.000,0.000,0,0,0,0,0,0,0,0
7900,25.00,0.350,35.00,75.85,75.85,52.97,52.97,0.019,0.019,0.000,0.000,0,0,0,0,0,0,0,0
8000,25.00,0.350,35.00,75.80,75.80,52.94,52.94,0.018,0.018,0.000,0.000,0,0,0,0,0,0,0,0
8100,25.00,0.350,35.00,75.76,75.76,52.92,52.92,0.017,0.017,0.000,0.000,0,0,0,0,0,0,0,0
8200,25.00,0.350,35.00,75.72,75.72,52.90,52.90,0.015,0.015,0.000,0.000,0,0,0,0,0,0,0,0
8300,25.00,0.350,35.00,75.68,75.68,52.87,52.87,0.014,0.014,0.000,0.000,0,0,0,0,0,0,0,0
8400,25.00,0.350,35.00,75.64,75.64,52.85,52.85,0.014,0.014,0.000,0.000,0,0,0,0,0,0,0,0
8500,25.00,0.350,35.00,75.60,75.60,52.83,52.83,0.013,0.013,0.000,0.000,0,0,0,0,0,0,0,0
8600,25.00,0.350,35.00,75.57,75.57,52.81,52.81,0.012,0.012,0.000,0.000,0,0,0,0,0,0,0,0
8700,25.00,0.350,35.00,75.53,75.53,52.79,52.79,0.011,0.011,0.000,0.000,0,0,0,0,0,0,0,0
8800,25.00,0.350,35.00,75.50,75.50,52.77,52.77,0.010,0.010,0.000,0.000,0,0,0,0,0,0,0,0
8900,25.00,0.350,35.00,75.46,75.46,52.75,52.75,0.009,0.009,0.000,0.000,0,0,0,0,0,0,0,0
9000,25.00,0.350,35.00,75.43,75.43,52.74,52.74,0.008,0.008,0.000,0.000,0,0,0,0,0,0,0,0
9100,25.00,0.350,35.00,75.40,75.40,52.72,52.72,0.007,0.007,0.000,0.000,0,0,0,0,0,0,0,0
9200,25.00,0.350,35.00,75.37,75.37,52.70,52.70,0.007,0.007,0.000,0.000,0,0,0,0,0,0,0,0
9300,25.00,0.350,35.00,75.34,75.34,52.68,52.68,0.006,0.006,0.000,0.000,0,0,0,0,0,0,0,0
9400,25.00,0.350,35.00,75.31,75.31,52.67,52.67,0.005,0.005,0.000,0.000,0,0,0,0,0,0,0,0
9500,25.00,0.350,35.00,75.28,75.28,52.65,52.65,0.004,0.004,0.000,0.000,0,0,0,0,0,0,0,0
9600,25.00,0.350,35.00,75.25,75.25,52.64,52.64,0.004,0.004,0.000,0.000,0,0,0,0,0,0,0,0
9700,25.00,0.350,35.00,75.22,75.22,52.62,52.62,0.003,0.003,0.000,0.000,0,0,0,0,0,0,0,0
9800,25.00,0.350,35.00,75.19,75.19,52.61,52.61,0.002,0.002,0.000,0.000,0,0,0,0,0,0,0,0
