partition,method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,runtime_alarm_samples,runtime_localized_samples,runtime_correct_samples,runtime_wrong_samples,runtime_wrong_runs,runtime_unknown_samples,runtime_unknown_rate,runtime_accuracy_among_localized,runtime_correct_fraction_all_alarms,runtime_localization_coverage
development-train,A0,ALL,936,816,120,760,0.9313725490196079,0.9516666666666667,25,0,0.0,1.0,0.9313725490196079,100.0,42900.0,760,1.0,760,0,1.0,1.0,1.0,0.0,0,0.0,362,0,0,605,0.9553719008264463,603,0.9552238805970149,514,0.9513618677042801,362,50,77,0.7564418696251314,0.7577967729808077,0.0,5.9935894248953e-07,0,0,283579,282090,282090,0,0,1489,0.0052507414159722685,1.0,0.9947492585840277,0.9947492585840277
development-train,A0,MEMORY,120,120,0,106,0.8833333333333333,0.8833333333333333,0,0,,1.0,0.8833333333333333,0.0,900.0,106,1.0,106,0,1.0,1.0,1.0,0.0,0,0.0,75,0,0,77,1.0,75,1.0,75,1.0,75,0,0,0.73703255312025,0.73704754151595,0.0,7.982295053007949e-26,0,0,37503,37503,37503,0,0,0,0.0,1.0,1.0,1.0
development-train,A0,TIMING,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,97,0,0,120,1.0,120,1.0,97,1.0,97,0,0,0.6882383921233917,0.6882383921233917,0.0,1.0044170603973058e-24,0,0,44478,44478,44478,0,0,0,0.0,1.0,1.0,1.0
development-train,A0,COMMUNICATION,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,58,0,0,120,1.0,120,1.0,58,1.0,58,0,0,0.760864950509375,0.76116804691675,0.0,4.674999751418333e-06,0,0,33633,33621,33621,0,0,12,0.0003567924360003568,1.0,0.9996432075639996,0.9996432075639996
development-train,A0,SENSOR_CONTROL,336,336,0,294,0.875,0.875,25,0,,1.0,0.875,800.0,54800.0,294,1.0,294,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,168,0.8392857142857143,168,0.8392857142857143,164,0.8475609756097561,12,50,77,0.7340641707317351,0.7340641707317351,0.0,0.0,0,0,120304,120304,120304,0,0,0,0.0,1.0,1.0,1.0
development-train,A0,ACTUATOR,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,120,0,0,120,1.0,120,1.0,120,1.0,120,0,0,0.6668722023836833,0.6771223637548833,0.0,9.305436734004135e-25,0,0,47661,46184,46184,0,0,1477,0.03098969807599505,1.0,0.969010301924005,0.969010301924005
development-train,A1,ALL,936,816,120,774,0.9485294117647058,0.975,25,0,0.0,1.0,0.9485294117647058,100.0,42900.0,774,1.0,774,0,1.0,1.0,1.0,0.0,0,0.0,362,0,0,605,0.9553719008264463,603,0.9552238805970149,514,0.9513618677042801,362,50,77,0.7554996140628408,0.7568539754071945,0.0,5.9935894248953e-07,0,0,284639,283150,283150,0,0,1489,0.005231187574436392,1.0,0.9947688124255636,0.9947688124255636
development-train,A1,MEMORY,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,2000.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,75,0,0,77,1.0,75,1.0,75,1.0,75,0,0,0.7296829597343834,0.7296937204417667,0.0,7.725735186458849e-26,0,0,38563,38563,38563,0,0,0,0.0,1.0,1.0,1.0
development-train,A1,TIMING,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,97,0,0,120,1.0,120,1.0,97,1.0,97,0,0,0.6882383921233917,0.6882383921233917,0.0,1.0044170603973058e-24,0,0,44478,44478,44478,0,0,0,0.0,1.0,1.0,1.0
development-train,A1,COMMUNICATION,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,58,0,0,120,1.0,120,1.0,58,1.0,58,0,0,0.760864950509375,0.76116804691675,0.0,4.674999751418333e-06,0,0,33633,33621,33621,0,0,12,0.0003567924360003568,1.0,0.9996432075639996,0.9996432075639996
development-train,A1,SENSOR_CONTROL,336,336,0,294,0.875,0.875,25,0,,1.0,0.875,800.0,54800.0,294,1.0,294,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,168,0.8392857142857143,168,0.8392857142857143,164,0.8475609756097561,12,50,77,0.7340641707317351,0.7340641707317351,0.0,0.0,0,0,120304,120304,120304,0,0,0,0.0,1.0,1.0,1.0
development-train,A1,ACTUATOR,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,120,0,0,120,1.0,120,1.0,120,1.0,120,0,0,0.6668722023836833,0.6771223637548833,0.0,9.305436734004135e-25,0,0,47661,46184,46184,0,0,1477,0.03098969807599505,1.0,0.969010301924005,0.969010301924005
development-train,A2,ALL,936,816,120,760,0.9313725490196079,0.9516666666666667,25,0,0.0,1.0,0.9313725490196079,100.0,42900.0,760,1.0,760,0,1.0,1.0,1.0,0.0,0,0.0,362,0,0,605,0.9553719008264463,603,0.9552238805970149,514,0.9513618677042801,362,50,77,0.7564418696251314,0.7577967729808077,0.0,5.9935894248953e-07,0,0,283579,282090,282090,0,0,1489,0.0052507414159722685,1.0,0.9947492585840277,0.9947492585840277
development-train,A2,MEMORY,120,120,0,106,0.8833333333333333,0.8833333333333333,0,0,,1.0,0.8833333333333333,0.0,900.0,106,1.0,106,0,1.0,1.0,1.0,0.0,0,0.0,75,0,0,77,1.0,75,1.0,75,1.0,75,0,0,0.73703255312025,0.73704754151595,0.0,7.982295053007949e-26,0,0,37503,37503,37503,0,0,0,0.0,1.0,1.0,1.0
development-train,A2,TIMING,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,97,0,0,120,1.0,120,1.0,97,1.0,97,0,0,0.6882383921233917,0.6882383921233917,0.0,1.0044170603973058e-24,0,0,44478,44478,44478,0,0,0,0.0,1.0,1.0,1.0
development-train,A2,COMMUNICATION,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,58,0,0,120,1.0,120,1.0,58,1.0,58,0,0,0.760864950509375,0.76116804691675,0.0,4.674999751418333e-06,0,0,33633,33621,33621,0,0,12,0.0003567924360003568,1.0,0.9996432075639996,0.9996432075639996
development-train,A2,SENSOR_CONTROL,336,336,0,294,0.875,0.875,25,0,,1.0,0.875,800.0,54800.0,294,1.0,294,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,168,0.8392857142857143,168,0.8392857142857143,164,0.8475609756097561,12,50,77,0.7340641707317351,0.7340641707317351,0.0,0.0,0,0,120304,120304,120304,0,0,0,0.0,1.0,1.0,1.0
development-train,A2,ACTUATOR,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,120,0,0,120,1.0,120,1.0,120,1.0,120,0,0,0.6668722023836833,0.6771223637548833,0.0,9.305436734004135e-25,0,0,47661,46184,46184,0,0,1477,0.03098969807599505,1.0,0.969010301924005,0.969010301924005
development-train,A3,ALL,936,816,120,778,0.9534313725490197,0.9623809523809523,16,0,0.0,1.0,0.9534313725490197,100.0,42900.0,778,1.0,778,0,1.0,1.0,1.0,0.0,0,0.0,363,0,0,605,0.9702479338842975,603,0.9701492537313433,514,0.9688715953307393,363,59,76,0.7563417340079059,0.7576966373635823,0.0,5.9935894248953e-07,0,0,283686,282197,282197,0,0,1489,0.005248760954012535,1.0,0.9947512390459875,0.9947512390459875
development-train,A3,MEMORY,120,120,0,106,0.8833333333333333,0.8833333333333333,0,0,,1.0,0.8833333333333333,0.0,900.0,106,1.0,106,0,1.0,1.0,1.0,0.0,0,0.0,75,0,0,77,1.0,75,1.0,75,1.0,75,0,0,0.73703255312025,0.73704754151595,0.0,7.982295053007949e-26,0,0,37503,37503,37503,0,0,0,0.0,1.0,1.0,1.0
development-train,A3,TIMING,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,97,0,0,120,1.0,120,1.0,97,1.0,97,0,0,0.6882383921233917,0.6882383921233917,0.0,1.0044170603973058e-24,0,0,44478,44478,44478,0,0,0,0.0,1.0,1.0,1.0
development-train,A3,COMMUNICATION,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,58,0,0,120,1.0,120,1.0,58,1.0,58,0,0,0.760864950509375,0.76116804691675,0.0,4.674999751418333e-06,0,0,33633,33621,33621,0,0,12,0.0003567924360003568,1.0,0.9996432075639996,0.9996432075639996
development-train,A3,SENSOR_CONTROL,336,336,0,312,0.9285714285714286,0.9285714285714286,16,0,,1.0,0.9285714285714286,450.0,54745.0,312,1.0,312,0,1.0,1.0,1.0,0.0,0,0.0,13,0,0,168,0.8928571428571429,168,0.8928571428571429,164,0.9024390243902439,13,59,76,0.7337852215123214,0.7337852215123214,0.0,0.0,0,0,120411,120411,120411,0,0,0,0.0,1.0,1.0,1.0
development-train,A3,ACTUATOR,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,120,0,0,120,1.0,120,1.0,120,1.0,120,0,0,0.6668722023836833,0.6771223637548833,0.0,9.305436734004135e-25,0,0,47661,46184,46184,0,0,1477,0.03098969807599505,1.0,0.969010301924005,0.969010301924005
development-train,A4,ALL,936,816,120,792,0.9705882352941176,0.9857142857142858,16,0,0.0,1.0,0.9705882352941176,100.0,42844.99999999999,792,1.0,792,0,1.0,1.0,1.0,0.0,0,0.0,363,0,0,605,0.9702479338842975,603,0.9701492537313433,514,0.9688715953307393,363,59,76,0.7553994784456154,0.756753839789969,0.0,5.9935894248953e-07,0,0,284746,283257,283257,0,0,1489,0.00522922183279133,1.0,0.9947707781672087,0.9947707781672087
development-train,A4,MEMORY,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,2000.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,75,0,0,77,1.0,75,1.0,75,1.0,75,0,0,0.7296829597343834,0.7296937204417667,0.0,7.725735186458849e-26,0,0,38563,38563,38563,0,0,0,0.0,1.0,1.0,1.0
