partition,method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
development-train,A0,ALL,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,120,0,0,120,1.0,120,1.0,120,1.0,120,0,0,0.6668722023836833,0.6771223637548833,0.0,9.305436734004135e-25,0,0
development-train,A0,transient,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,304.9999999999997,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.829682309470275,0.844268413071175,0.0,2.537657337273915e-24,0,0
development-train,A0,intermittent,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.841200458797375,0.8564501562011,0.0,2.5397331978633435e-25,0,0
development-train,A0,permanent,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,209.99999999999943,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.3297338388834,0.330648521992375,0.0,3.6314099143654726e-31,0,0
development-train,A0,weak,54,54,0,54,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,54,1.0,54,0,1.0,1.0,1.0,0.0,0,0.0,54,0,0,54,1.0,54,1.0,54,1.0,54,0,0,0.6933706211917222,0.6937878280347592,0.0,1.900683904114976e-24,0,0
development-train,A1,ALL,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,120,0,0,120,1.0,120,1.0,120,1.0,120,0,0,0.6668722023836833,0.6771223637548833,0.0,9.305436734004135e-25,0,0
development-train,A1,transient,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,304.9999999999997,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.829682309470275,0.844268413071175,0.0,2.537657337273915e-24,0,0
development-train,A1,intermittent,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.841200458797375,0.8564501562011,0.0,2.5397331978633435e-25,0,0
development-train,A1,permanent,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,209.99999999999943,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.3297338388834,0.330648521992375,0.0,3.6314099143654726e-31,0,0
development-train,A1,weak,54,54,0,54,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,54,1.0,54,0,1.0,1.0,1.0,0.0,0,0.0,54,0,0,54,1.0,54,1.0,54,1.0,54,0,0,0.6933706211917222,0.6937878280347592,0.0,1.900683904114976e-24,0,0
development-train,A2,ALL,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,120,0,0,120,1.0,120,1.0,120,1.0,120,0,0,0.6668722023836833,0.6771223637548833,0.0,9.305436734004135e-25,0,0
development-train,A2,transient,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,304.9999999999997,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.829682309470275,0.844268413071175,0.0,2.537657337273915e-24,0,0
development-train,A2,intermittent,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.841200458797375,0.8564501562011,0.0,2.5397331978633435e-25,0,0
development-train,A2,permanent,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,209.99999999999943,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.3297338388834,0.330648521992375,0.0,3.6314099143654726e-31,0,0
development-train,A2,weak,54,54,0,54,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,54,1.0,54,0,1.0,1.0,1.0,0.0,0,0.0,54,0,0,54,1.0,54,1.0,54,1.0,54,0,0,0.6933706211917222,0.6937878280347592,0.0,1.900683904114976e-24,0,0
development-train,A3,ALL,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,120,0,0,120,1.0,120,1.0,120,1.0,120,0,0,0.6668722023836833,0.6771223637548833,0.0,9.305436734004135e-25,0,0
development-train,A3,transient,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,304.9999999999997,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.829682309470275,0.844268413071175,0.0,2.537657337273915e-24,0,0
development-train,A3,intermittent,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.841200458797375,0.8564501562011,0.0,2.5397331978633435e-25,0,0
development-train,A3,permanent,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,209.99999999999943,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.3297338388834,0.330648521992375,0.0,3.6314099143654726e-31,0,0
development-train,A3,weak,54,54,0,54,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,54,1.0,54,0,1.0,1.0,1.0,0.0,0,0.0,54,0,0,54,1.0,54,1.0,54,1.0,54,0,0,0.6933706211917222,0.6937878280347592,0.0,1.900683904114976e-24,0,0
development-train,A4,ALL,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,120,0,0,120,1.0,120,1.0,120,1.0,120,0,0,0.6668722023836833,0.6771223637548833,0.0,9.305436734004135e-25,0,0
development-train,A4,transient,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,304.9999999999997,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.829682309470275,0.844268413071175,0.0,2.537657337273915e-24,0,0
development-train,A4,intermittent,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.841200458797375,0.8564501562011,0.0,2.5397331978633435e-25,0,0
development-train,A4,permanent,40,40,0,40,1.0,1.0,0,0,,1.0,1.0,0.0,209.99999999999943,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,40,0,0,40,1.0,40,1.0,40,1.0,40,0,0,0.3297338388834,0.330648521992375,0.0,3.6314099143654726e-31,0,0
development-train,A4,weak,54,54,0,54,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,54,1.0,54,0,1.0,1.0,1.0,0.0,0,0.0,54,0,0,54,1.0,54,1.0,54,1.0,54,0,0,0.6933706211917222,0.6937878280347592,0.0,1.900683904114976e-24,0,0
development-validation,A0,ALL,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,80,1.0,80,0,1.0,1.0,1.0,0.0,0,0.0,80,0,0,80,1.0,80,1.0,80,1.0,80,0,0,0.667831349092775,0.67792029287005,0.0,7.476912611906085e-25,0,0
development-validation,A0,transient,27,27,0,27,1.0,1.0,0,0,,1.0,1.0,0.0,269.99999999999994,27,1.0,27,0,1.0,1.0,1.0,0.0,0,0.0,27,0,0,27,1.0,27,1.0,27,1.0,27,0,0,0.8267629250714074,0.8413048739962593,0.0,1.5714542633431334e-24,0,0
development-validation,A0,intermittent,27,27,0,27,1.0,1.0,0,0,,1.0,1.0,0.0,339.9999999999999,27,1.0,27,0,1.0,1.0,1.0,0.0,0,0.0,27,0,0,27,1.0,27,1.0,27,1.0,27,0,0,0.8409078036174074,0.8562388717282222,0.0,6.439272047226525e-25,0,0
development-validation,A0,permanent,26,26,0,26,1.0,1.0,0,0,,1.0,1.0,0.0,250.0,26,1.0,26,0,1.0,1.0,1.0,0.0,0,0.0,26,0,0,26,1.0,26,1.0,26,1.0,26,0,0,0.3230537789547692,0.3230747036555,0.0,4.836432544224115e-32,0,0
