run_id,origin,model,behavior,magnitude,stuck_polarity,start_ms,duration_ms,group,partition,profile,profile_json,target_updates_json,workload,seed,simulation_duration_ms,sensor_ramp_rise_ms,sensor_variation,initially_latent_stuck,profile_semantic_sha256,configuration_sha256
contract_0000,MEMORY,stuck_bit,transient,0,0,24200,8900,contract_family_0,development-train,contract_profile_0000,"[{""ambient_temp_c"": 23.669999999999998, ""end_ms"": 15600, ""engine_load"": 0.2696, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 16.39}, {""ambient_temp_c"": 23.669999999999998, ""end_ms"": 27000, ""engine_load"": 0.425, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 15600, ""vehicle_speed_kph"": 24.9}, {""ambient_temp_c"": 23.669999999999998, ""end_ms"": 27100, ""engine_load"": 0.17300000000000001, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27000, ""vehicle_speed_kph"": 11.1}, {""ambient_temp_c"": 23.669999999999998, ""end_ms"": 49000, ""engine_load"": 0.4124, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27100, ""vehicle_speed_kph"": 24.209999999999997}, {""ambient_temp_c"": 23.669999999999998, ""end_ms"": 76600, ""engine_load"": 0.26539999999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49000, ""vehicle_speed_kph"": 16.16}, {""ambient_temp_c"": 23.669999999999998, ""end_ms"": 120000, ""engine_load"": 0.3704, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 76600, ""vehicle_speed_kph"": 21.91}]",[],static_target,351007,120000,0,0:0:8600,1,c06b2b427fcaa89dfbd0aa7ce4324124baa64b04952010cf914d56df97aefb96,84e56860625c39bec8da4b6cdef2696b6e556e1602e0434ba3a89cae98339492
contract_0001,MEMORY,stuck_bit,intermittent,0,0,24700,14300,contract_family_0,development-train,contract_profile_0001,"[{""ambient_temp_c"": 23.6713, ""end_ms"": 15600, ""engine_load"": 0.26961449, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 16.39}, {""ambient_temp_c"": 23.6713, ""end_ms"": 27000, ""engine_load"": 0.425023, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 15600, ""vehicle_speed_kph"": 24.9}, {""ambient_temp_c"": 23.6713, ""end_ms"": 27100, ""engine_load"": 0.1730092, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27000, ""vehicle_speed_kph"": 11.1}, {""ambient_temp_c"": 23.6713, ""end_ms"": 49000, ""engine_load"": 0.41242230999999996, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27100, ""vehicle_speed_kph"": 24.209999999999997}, {""ambient_temp_c"": 23.6713, ""end_ms"": 76600, ""engine_load"": 0.26541426, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49000, ""vehicle_speed_kph"": 16.16}, {""ambient_temp_c"": 23.6713, ""end_ms"": 120000, ""engine_load"": 0.37042000999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 76600, ""vehicle_speed_kph"": 21.91}]","[[31300, 99], [62100, 92]]",authorized_updates,351018,120000,0,0:0:8600,1,ab620653a75aa393a021e9b884fe72c376d86882ac4819c882f3299b70596c7d,08aaba281c9789f42e1730cef0486bcee7495daa6c6c281bf383bde84d72acc1
contract_0002,MEMORY,stuck_bit,permanent,0,0,25200,0,contract_family_0,development-train,contract_profile_0002,"[{""ambient_temp_c"": 23.6726, ""end_ms"": 15600, ""engine_load"": 0.26962898, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 16.39}, {""ambient_temp_c"": 23.6726, ""end_ms"": 27000, ""engine_load"": 0.425046, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 15600, ""vehicle_speed_kph"": 24.9}, {""ambient_temp_c"": 23.6726, ""end_ms"": 27100, ""engine_load"": 0.17301840000000002, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27000, ""vehicle_speed_kph"": 11.1}, {""ambient_temp_c"": 23.6726, ""end_ms"": 49000, ""engine_load"": 0.41244462, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27100, ""vehicle_speed_kph"": 24.209999999999997}, {""ambient_temp_c"": 23.6726, ""end_ms"": 76600, ""engine_load"": 0.26542852, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49000, ""vehicle_speed_kph"": 16.16}, {""ambient_temp_c"": 23.6726, ""end_ms"": 120000, ""engine_load"": 0.37044002, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 76600, ""vehicle_speed_kph"": 21.91}]",[],static_target,351029,120000,0,0:0:8600,1,d2f9d3089294d4cd2adf9d0f676e1ce6952bafb5acd4d7a2499905633a7bf925,a344cfaf86bb70856e98ce310be97ee322b4ede7649170baef1192cc8a47c866
contract_0003,MEMORY,stuck_bit,transient,0,1,25700,8900,contract_family_0,development-train,contract_profile_0003,"[{""ambient_temp_c"": 23.6739, ""end_ms"": 15600, ""engine_load"": 0.26964347, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 16.39}, {""ambient_temp_c"": 23.6739, ""end_ms"": 27000, ""engine_load"": 0.425069, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 15600, ""vehicle_speed_kph"": 24.9}, {""ambient_temp_c"": 23.6739, ""end_ms"": 27100, ""engine_load"": 0.1730276, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27000, ""vehicle_speed_kph"": 11.1}, {""ambient_temp_c"": 23.6739, ""end_ms"": 49000, ""engine_load"": 0.41246692999999995, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27100, ""vehicle_speed_kph"": 24.209999999999997}, {""ambient_temp_c"": 23.6739, ""end_ms"": 76600, ""engine_load"": 0.26544278, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49000, ""vehicle_speed_kph"": 16.16}, {""ambient_temp_c"": 23.6739, ""end_ms"": 120000, ""engine_load"": 0.37046003, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 76600, ""vehicle_speed_kph"": 21.91}]","[[31300, 99], [62100, 92]]",authorized_updates,351040,120000,0,0:0:8600,0,cd668827f700941596758dc77a02446c81b9c2075b167692378ef594ab8607c8,e86a464ee03e7ae29d37e55da726a86afd16cac721c28deeab1f45bfbe965e56
contract_0004,MEMORY,stuck_bit,intermittent,0,1,26200,14300,contract_family_0,development-train,contract_profile_0004,"[{""ambient_temp_c"": 23.675199999999997, ""end_ms"": 15600, ""engine_load"": 0.26965796, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 16.39}, {""ambient_temp_c"": 23.675199999999997, ""end_ms"": 27000, ""engine_load"": 0.42509199999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 15600, ""vehicle_speed_kph"": 24.9}, {""ambient_temp_c"": 23.675199999999997, ""end_ms"": 27100, ""engine_load"": 0.1730368, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27000, ""vehicle_speed_kph"": 11.1}, {""ambient_temp_c"": 23.675199999999997, ""end_ms"": 49000, ""engine_load"": 0.41248924, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27100, ""vehicle_speed_kph"": 24.209999999999997}, {""ambient_temp_c"": 23.675199999999997, ""end_ms"": 76600, ""engine_load"": 0.26545704, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49000, ""vehicle_speed_kph"": 16.16}, {""ambient_temp_c"": 23.675199999999997, ""end_ms"": 120000, ""engine_load"": 0.37048003999999995, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 76600, ""vehicle_speed_kph"": 21.91}]",[],static_target,351051,120000,0,0:0:8600,0,a966e5703331589d3295dd88940956430b2ee6b784c2efcbeaa0591844694501,d527aea95ee2f5c7b6eb1d2a88137644616d415dbf6a5590ed03bda1fe99c112
contract_0005,MEMORY,stuck_bit,permanent,0,1,26700,0,contract_family_0,development-train,contract_profile_0005,"[{""ambient_temp_c"": 23.676499999999997, ""end_ms"": 15600, ""engine_load"": 0.26967245, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 16.39}, {""ambient_temp_c"": 23.676499999999997, ""end_ms"": 27000, ""engine_load"": 0.42511499999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 15600, ""vehicle_speed_kph"": 24.9}, {""ambient_temp_c"": 23.676499999999997, ""end_ms"": 27100, ""engine_load"": 0.173046, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27000, ""vehicle_speed_kph"": 11.1}, {""ambient_temp_c"": 23.676499999999997, ""end_ms"": 49000, ""engine_load"": 0.41251154999999995, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27100, ""vehicle_speed_kph"": 24.209999999999997}, {""ambient_temp_c"": 23.676499999999997, ""end_ms"": 76600, ""engine_load"": 0.26547129999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49000, ""vehicle_speed_kph"": 16.16}, {""ambient_temp_c"": 23.676499999999997, ""end_ms"": 120000, ""engine_load"": 0.37050004999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 76600, ""vehicle_speed_kph"": 21.91}]","[[31300, 99], [62100, 92]]",authorized_updates,351062,120000,0,0:0:8600,0,dc1ad06e24f4d3a082403a96e57c2c3b688a44ba684d25b8d207fb425cd5c67e,db053ccfa7f0e786c7aed7e797a56ea5e6d8b234eb67cb014afdccd5a42685d3
contract_0006,MEMORY,stuck_bit,transient,1,0,27200,8900,contract_family_0,development-train,contract_profile_0006,"[{""ambient_temp_c"": 23.677799999999998, ""end_ms"": 15600, ""engine_load"": 0.26968694, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 16.39}, {""ambient_temp_c"": 23.677799999999998, ""end_ms"": 27000, ""engine_load"": 0.425138, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 15600, ""vehicle_speed_kph"": 24.9}, {""ambient_temp_c"": 23.677799999999998, ""end_ms"": 27100, ""engine_load"": 0.17305520000000002, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27000, ""vehicle_speed_kph"": 11.1}, {""ambient_temp_c"": 23.677799999999998, ""end_ms"": 49000, ""engine_load"": 0.41253386000000003, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27100, ""vehicle_speed_kph"": 24.209999999999997}, {""ambient_temp_c"": 23.677799999999998, ""end_ms"": 76600, ""engine_load"": 0.26548556, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49000, ""vehicle_speed_kph"": 16.16}, {""ambient_temp_c"": 23.677799999999998, ""end_ms"": 120000, ""engine_load"": 0.37052006000000004, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 76600, ""vehicle_speed_kph"": 21.91}]",[],static_target,351073,120000,0,0:0:8600,1,210d3ce5994c4c3f61538b5101c4de4ef1f1c1cf8635ea7f8bae7540178b5e15,8c2d0aacba47b7279d39a6ef893333cc0537f0bbc9828ad7ba0ad8ba23a6169c
contract_0007,MEMORY,stuck_bit,intermittent,1,0,27700,14300,contract_family_0,development-train,contract_profile_0007,"[{""ambient_temp_c"": 23.6791, ""end_ms"": 15600, ""engine_load"": 0.26970143, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 16.39}, {""ambient_temp_c"": 23.6791, ""end_ms"": 27000, ""engine_load"": 0.425161, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 15600, ""vehicle_speed_kph"": 24.9}, {""ambient_temp_c"": 23.6791, ""end_ms"": 27100, ""engine_load"": 0.1730644, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27000, ""vehicle_speed_kph"": 11.1}, {""ambient_temp_c"": 23.6791, ""end_ms"": 49000, ""engine_load"": 0.41255617, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27100, ""vehicle_speed_kph"": 24.209999999999997}, {""ambient_temp_c"": 23.6791, ""end_ms"": 76600, ""engine_load"": 0.26549982, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49000, ""vehicle_speed_kph"": 16.16}, {""ambient_temp_c"": 23.6791, ""end_ms"": 120000, ""engine_load"": 0.37054007, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 76600, ""vehicle_speed_kph"": 21.91}]","[[31300, 99], [62100, 92]]",authorized_updates,351084,120000,0,0:0:8600,1,7b2c901acfc4773d426e379ae83b063dd2cc5c13a6611283c9c8639692e2d3eb,74228d5b3880aafed442727c98976e2ba78d89578103fb210dc492774898fa42
contract_0008,MEMORY,stuck_bit,permanent,1,0,28200,0,contract_family_0,development-train,contract_profile_0008,"[{""ambient_temp_c"": 23.6804, ""end_ms"": 15600, ""engine_load"": 0.26971592, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 16.39}, {""ambient_temp_c"": 23.6804, ""end_ms"": 27000, ""engine_load"": 0.425184, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 15600, ""vehicle_speed_kph"": 24.9}, {""ambient_temp_c"": 23.6804, ""end_ms"": 27100, ""engine_load"": 0.17307360000000002, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27000, ""vehicle_speed_kph"": 11.1}, {""ambient_temp_c"": 23.6804, ""end_ms"": 49000, ""engine_load"": 0.41257847999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27100, ""vehicle_speed_kph"": 24.209999999999997}, {""ambient_temp_c"": 23.6804, ""end_ms"": 76600, ""engine_load"": 0.26551408, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49000, ""vehicle_speed_kph"": 16.16}, {""ambient_temp_c"": 23.6804, ""end_ms"": 120000, ""engine_load"": 0.37056008, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 76600, ""vehicle_speed_kph"": 21.91}]",[],static_target,351095,120000,0,0:0:8600,1,6acb480573df469e20422e21ee8c818966ab6eb2ee57cce8860a04a2116addf4,06758c684a66f0e9bd4eb71d4f4a7421bedbc3c234d945e10fa587066c4ea6a9
contract_0009,MEMORY,stuck_bit,transient,1,1,24200,8900,contract_family_0,development-train,contract_profile_0009,"[{""ambient_temp_c"": 23.6817, ""end_ms"": 15600, ""engine_load"": 0.26973041000000003, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 16.39}, {""ambient_temp_c"": 23.6817, ""end_ms"": 27000, ""engine_load"": 0.425207, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 15600, ""vehicle_speed_kph"": 24.9}, {""ambient_temp_c"": 23.6817, ""end_ms"": 27100, ""engine_load"": 0.1730828, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27000, ""vehicle_speed_kph"": 11.1}, {""ambient_temp_c"": 23.6817, ""end_ms"": 49000, ""engine_load"": 0.41260079, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 27100, ""vehicle_speed_kph"": 24.209999999999997}, {""ambient_temp_c"": 23.6817, ""end_ms"": 76600, ""engine_load"": 0.26552834, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49000, ""vehicle_speed_kph"": 16.16}, {""ambient_temp_c"": 23.6817, ""end_ms"": 120000, ""engine_load"": 0.37058009, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 76600, ""vehicle_speed_kph"": 21.91}]","[[31300, 99], [62100, 92]]",authorized_updates,351106,120000,0,0:0:8600,0,b90b1bab6883e7b2ca68274bc45d24a2b746f8ee616e6a75f9a6bc361deac153,e6530c02391f9b98a504dd42c058d83d807f85b4857af32ea91484397297e8de
