partition,method,group,successes,total,wilson_low,wilson_high
development-train,Pre-change CLO-DSF,overall,704,816,0.8374288893214307,0.8846619413271756
development-train,Pre-change CLO-DSF,MEMORY,120,120,0.9689808335812966,1
development-train,Pre-change CLO-DSF,TIMING,120,120,0.9689808335812966,1
development-train,Pre-change CLO-DSF,COMMUNICATION,120,120,0.9689808335812966,1
development-train,Pre-change CLO-DSF,SENSOR_CONTROL,224,336,0.6146281793664576,0.7149372609087179
development-train,Pre-change CLO-DSF,ACTUATOR,120,120,0.9689808335812966,1
development-train,Pre-change CLO-DSF,primary_slow,72,72,0.9493488274035422,1
development-train,Pre-change CLO-DSF,reference_slow,72,72,0.9493488274035422,1
development-train,Pre-change CLO-DSF,weak_steps,32,96,0.2470569241521054,0.43243493846711983
development-train,Pre-change CLO-DSF,pulses,36,72,0.3874709230948976,0.6125290769051024
development-train,Pre-change CLO-DSF,plant_propagating,481,509,0.9216445503064593,0.9616693710011067
development-train,Pre-change CLO-DSF,benign_alarm,0,120,0,0.031019166418703486
development-train,FAST only,overall,659,816,0.7791355807872862,0.8331779276343358
development-train,FAST only,MEMORY,120,120,0.9689808335812966,1
development-train,FAST only,TIMING,120,120,0.9689808335812966,1
development-train,FAST only,COMMUNICATION,120,120,0.9689808335812966,1
development-train,FAST only,SENSOR_CONTROL,179,336,0.47932143546900075,0.5854146331564802
development-train,FAST only,ACTUATOR,120,120,0.9689808335812966,1
development-train,FAST only,primary_slow,0,72,0,0.05065117259645781
development-train,FAST only,reference_slow,0,72,0,0.05065117259645781
development-train,FAST only,weak_steps,96,96,0.9615244121423243,1
development-train,FAST only,pulses,71,72,0.9254339785252386,0.9975440481170943
development-train,FAST only,plant_propagating,425,509,0.8002363916308001,0.8646864497949837
development-train,FAST only,benign_alarm,0,120,0,0.031019166418703486
development-train,SLOW only,overall,704,816,0.8374288893214307,0.8846619413271756
development-train,SLOW only,MEMORY,120,120,0.9689808335812966,1
development-train,SLOW only,TIMING,120,120,0.9689808335812966,1
development-train,SLOW only,COMMUNICATION,120,120,0.9689808335812966,1
development-train,SLOW only,SENSOR_CONTROL,224,336,0.6146281793664576,0.7149372609087179
development-train,SLOW only,ACTUATOR,120,120,0.9689808335812966,1
development-train,SLOW only,primary_slow,72,72,0.9493488274035422,1
development-train,SLOW only,reference_slow,72,72,0.9493488274035422,1
development-train,SLOW only,weak_steps,32,96,0.2470569241521054,0.43243493846711983
development-train,SLOW only,pulses,36,72,0.3874709230948976,0.6125290769051024
development-train,SLOW only,plant_propagating,481,509,0.9216445503064593,0.9616693710011067
development-train,SLOW only,benign_alarm,0,120,0,0.031019166418703486
development-train,Revised CLO-DSF,overall,803,816,0.9729346072738163,0.9906663322741545
development-train,Revised CLO-DSF,MEMORY,120,120,0.9689808335812966,1
development-train,Revised CLO-DSF,TIMING,120,120,0.9689808335812966,1
development-train,Revised CLO-DSF,COMMUNICATION,120,120,0.9689808335812966,1
development-train,Revised CLO-DSF,SENSOR_CONTROL,323,336,0.9349381243885042,0.9772519335159995
development-train,Revised CLO-DSF,ACTUATOR,120,120,0.9689808335812966,1
development-train,Revised CLO-DSF,primary_slow,72,72,0.9493488274035422,1
development-train,Revised CLO-DSF,reference_slow,72,72,0.9493488274035422,1
development-train,Revised CLO-DSF,weak_steps,96,96,0.9615244121423243,1
development-train,Revised CLO-DSF,pulses,71,72,0.9254339785252386,0.9975440481170943
development-train,Revised CLO-DSF,plant_propagating,497,509,0.9592481019116955,0.9864632707906654
development-train,Revised CLO-DSF,benign_alarm,0,120,0,0.031019166418703486
development-validation,Pre-change CLO-DSF,overall,468,544,0.8286277202908964,0.8869077575165613
development-validation,Pre-change CLO-DSF,MEMORY,80,80,0.9541818704644728,0.9999999999999999
development-validation,Pre-change CLO-DSF,TIMING,80,80,0.9541818704644728,0.9999999999999999
development-validation,Pre-change CLO-DSF,COMMUNICATION,80,80,0.9541818704644728,0.9999999999999999
development-validation,Pre-change CLO-DSF,SENSOR_CONTROL,148,224,0.5964666908644578,0.7195425217374607
development-validation,Pre-change CLO-DSF,ACTUATOR,80,80,0.9541818704644728,0.9999999999999999
development-validation,Pre-change CLO-DSF,primary_slow,48,48,0.9258998703338824,0.9999999999999999
development-validation,Pre-change CLO-DSF,reference_slow,48,48,0.9258998703338824,0.9999999999999999
development-validation,Pre-change CLO-DSF,weak_steps,20,64,0.21231066539482046,0.4339233570274815
development-validation,Pre-change CLO-DSF,pulses,24,48,0.36389330502679385,0.6361066949732062
development-validation,Pre-change CLO-DSF,plant_propagating,327,347,0.9126565650692352,0.9623825509803295
development-validation,Pre-change CLO-DSF,benign_alarm,0,80,0,0.0458181295355271
development-validation,FAST only,overall,439,544,0.7717144229452378,0.8379510096764226
development-validation,FAST only,MEMORY,80,80,0.9541818704644728,0.9999999999999999
development-validation,FAST only,TIMING,80,80,0.9541818704644728,0.9999999999999999
development-validation,FAST only,COMMUNICATION,80,80,0.9541818704644728,0.9999999999999999
development-validation,FAST only,SENSOR_CONTROL,119,224,0.46592443423199204,0.5955218015517144
development-validation,FAST only,ACTUATOR,80,80,0.9541818704644728,0.9999999999999999
development-validation,FAST only,primary_slow,0,48,6.938893903907228e-18,0.07410012966611748
development-validation,FAST only,reference_slow,0,48,6.938893903907228e-18,0.07410012966611748
development-validation,FAST only,weak_steps,63,64,0.9166589839990573,0.9972364580766624
development-validation,FAST only,pulses,48,48,0.9258998703338824,0.9999999999999999
development-validation,FAST only,plant_propagating,290,347,0.7931145949274161,0.8710030403805598
development-validation,FAST only,benign_alarm,0,80,0,0.0458181295355271
development-validation,SLOW only,overall,468,544,0.8286277202908964,0.8869077575165613
development-validation,SLOW only,MEMORY,80,80,0.9541818704644728,0.9999999999999999
development-validation,SLOW only,TIMING,80,80,0.9541818704644728,0.9999999999999999
development-validation,SLOW only,COMMUNICATION,80,80,0.9541818704644728,0.9999999999999999
development-validation,SLOW only,SENSOR_CONTROL,148,224,0.5964666908644578,0.7195425217374607
development-validation,SLOW only,ACTUATOR,80,80,0.9541818704644728,0.9999999999999999
development-validation,SLOW only,primary_slow,48,48,0.9258998703338824,0.9999999999999999
