partition,method,origin,UNKNOWN,MEMORY,TIMING,COMMUNICATION,SENSOR_CONTROL,ACTUATOR
development-train,Pre-change CLO-DSF,ALL,1506,49544,45412,34123,102108,46834
development-train,Pre-change CLO-DSF,MEMORY,0,49544,0,0,0,0
development-train,Pre-change CLO-DSF,TIMING,0,0,45412,0,0,0
development-train,Pre-change CLO-DSF,COMMUNICATION,14,0,0,34123,0,0
development-train,Pre-change CLO-DSF,SENSOR_CONTROL,0,0,0,0,102108,0
development-train,Pre-change CLO-DSF,ACTUATOR,1492,0,0,0,0,46834
development-train,FAST only,ALL,1506,49544,45412,34123,40426,46834
development-train,FAST only,MEMORY,0,49544,0,0,0,0
development-train,FAST only,TIMING,0,0,45412,0,0,0
development-train,FAST only,COMMUNICATION,14,0,0,34123,0,0
development-train,FAST only,SENSOR_CONTROL,0,0,0,0,40426,0
development-train,FAST only,ACTUATOR,1492,0,0,0,0,46834
development-train,SLOW only,ALL,1506,49544,45412,34123,102108,46834
development-train,SLOW only,MEMORY,0,49544,0,0,0,0
development-train,SLOW only,TIMING,0,0,45412,0,0,0
development-train,SLOW only,COMMUNICATION,14,0,0,34123,0,0
development-train,SLOW only,SENSOR_CONTROL,0,0,0,0,102108,0
development-train,SLOW only,ACTUATOR,1492,0,0,0,0,46834
development-train,Revised CLO-DSF,ALL,1506,49544,45412,34123,120208,46834
development-train,Revised CLO-DSF,MEMORY,0,49544,0,0,0,0
development-train,Revised CLO-DSF,TIMING,0,0,45412,0,0,0
development-train,Revised CLO-DSF,COMMUNICATION,14,0,0,34123,0,0
development-train,Revised CLO-DSF,SENSOR_CONTROL,0,0,0,0,120208,0
development-train,Revised CLO-DSF,ACTUATOR,1492,0,0,0,0,46834
development-validation,Pre-change CLO-DSF,ALL,1078,30724,29539,22422,67517,31198
development-validation,Pre-change CLO-DSF,MEMORY,1,30724,0,0,0,0
development-validation,Pre-change CLO-DSF,TIMING,0,0,29539,0,0,0
development-validation,Pre-change CLO-DSF,COMMUNICATION,5,0,0,22422,0,0
development-validation,Pre-change CLO-DSF,SENSOR_CONTROL,0,0,0,0,67517,0
development-validation,Pre-change CLO-DSF,ACTUATOR,1072,0,0,0,0,31198
development-validation,FAST only,ALL,1078,30724,29539,22422,26817,31198
development-validation,FAST only,MEMORY,1,30724,0,0,0,0
development-validation,FAST only,TIMING,0,0,29539,0,0,0
development-validation,FAST only,COMMUNICATION,5,0,0,22422,0,0
development-validation,FAST only,SENSOR_CONTROL,0,0,0,0,26817,0
development-validation,FAST only,ACTUATOR,1072,0,0,0,0,31198
development-validation,SLOW only,ALL,1078,30724,29539,22422,67517,31198
development-validation,SLOW only,MEMORY,1,30724,0,0,0,0
development-validation,SLOW only,TIMING,0,0,29539,0,0,0
development-validation,SLOW only,COMMUNICATION,5,0,0,22422,0,0
development-validation,SLOW only,SENSOR_CONTROL,0,0,0,0,67517,0
development-validation,SLOW only,ACTUATOR,1072,0,0,0,0,31198
development-validation,Revised CLO-DSF,ALL,1078,30724,29539,22422,79526,31198
development-validation,Revised CLO-DSF,MEMORY,1,30724,0,0,0,0
development-validation,Revised CLO-DSF,TIMING,0,0,29539,0,0,0
development-validation,Revised CLO-DSF,COMMUNICATION,5,0,0,22422,0,0
development-validation,Revised CLO-DSF,SENSOR_CONTROL,0,0,0,0,79526,0
development-validation,Revised CLO-DSF,ACTUATOR,1072,0,0,0,0,31198
