partition,method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
development-train,Pre-change CLO-DSF,weak_steps,36,36,0,5,0.1388888888888889,0.1388888888888889,31,0,,1.0,0.1388888888888889,300.0,300.0,5,1.0,5,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,36,0.1388888888888889,36,0.1388888888888889,36,0.1388888888888889,0,0,5,0.9945021488386111,0.9945021488386111,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,pulses,36,36,0,33,0.9166666666666666,0.9166666666666666,1,0,,1.0,0.9166666666666666,100.0,1139.9999999999998,33,1.0,33,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,36,0.9166666666666666,36,0.9166666666666666,34,0.9705882352941176,12,7,14,0.7906036379084722,0.7906036379084722,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,slow_drift,48,48,0,0,0.0,0.0,48,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,48,0.0,48,0.0,48,0.0,0,0,0,0.9995624773309375,0.9995624773309375,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,positive,78,78,0,35,0.44871794871794873,0.44871794871794873,41,0,,1.0,0.44871794871794873,100.0,1129.9999999999998,35,1.0,35,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,78,0.44871794871794873,78,0.44871794871794873,76,0.4605263157894737,12,7,16,0.9019813396315385,0.9019813396315385,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,negative,42,42,0,3,0.07142857142857142,0.07142857142857142,39,0,,1.0,0.07142857142857142,300.0,300.0,3,1.0,3,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,42,0.07142857142857142,42,0.07142857142857142,42,0.07142857142857142,0,0,3,0.9973395891314286,0.9973395891314286,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,low_magnitude,54,54,0,20,0.37037037037037035,0.37037037037037035,32,0,,1.0,0.37037037037037035,800.0,1200.0,20,1.0,20,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,54,0.37037037037037035,54,0.37037037037037035,52,0.38461538461538464,0,1,19,0.9496988050627222,0.9496988050627222,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,medium_magnitude,66,66,0,18,0.2727272727272727,0.2727272727272727,48,0,,1.0,0.2727272727272727,100.0,100.0,18,1.0,18,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,66,0.2727272727272727,66,0.2727272727272727,66,0.2727272727272727,12,6,0,0.9236222994150455,0.9236222994150455,0.0,0.0,0,0
development-train,Memory only,weak_steps,36,36,0,5,0.1388888888888889,0.1388888888888889,31,0,,1.0,0.1388888888888889,300.0,300.0,5,1.0,5,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,36,0.1388888888888889,36,0.1388888888888889,36,0.1388888888888889,0,0,5,0.9945021488386111,0.9945021488386111,0.0,0.0,0,0
development-train,Memory only,pulses,36,36,0,33,0.9166666666666666,0.9166666666666666,1,0,,1.0,0.9166666666666666,100.0,1139.9999999999998,33,1.0,33,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,36,0.9166666666666666,36,0.9166666666666666,34,0.9705882352941176,12,7,14,0.7906036379084722,0.7906036379084722,0.0,0.0,0,0
development-train,Memory only,slow_drift,48,48,0,0,0.0,0.0,48,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,48,0.0,48,0.0,48,0.0,0,0,0,0.9995624773309375,0.9995624773309375,0.0,0.0,0,0
