partition,method,group,detected,cases,median_ms,p95_ms
development-train,Pre-change CLO-DSF,all,704,816,0.0,47645.00000000004
development-train,Pre-change CLO-DSF,abrupt_sensor,68,168,200.0,400.0
development-train,Pre-change CLO-DSF,slow_sensor,144,144,37400.0,60700.0
development-train,FAST only,all,659,816,0.0,500.0
development-train,FAST only,abrupt_sensor,167,168,100.0,500.0
development-train,FAST only,slow_sensor,0,144,,
development-train,SLOW only,all,704,816,0.0,47645.00000000004
development-train,SLOW only,abrupt_sensor,68,168,200.0,400.0
development-train,SLOW only,slow_sensor,144,144,37400.0,60700.0
development-train,Revised CLO-DSF,all,803,816,100.0,45990.0
development-train,Revised CLO-DSF,abrupt_sensor,167,168,100.0,500.0
development-train,Revised CLO-DSF,slow_sensor,144,144,37400.0,60700.0
development-validation,Pre-change CLO-DSF,all,468,544,0.0,47399.999999999956
development-validation,Pre-change CLO-DSF,abrupt_sensor,44,112,150.0,400.0
development-validation,Pre-change CLO-DSF,slow_sensor,96,96,37400.0,60800.0
development-validation,FAST only,all,439,544,0.0,509.9999999999966
development-validation,FAST only,abrupt_sensor,111,112,100.0,550.0
development-validation,FAST only,slow_sensor,0,96,,
development-validation,SLOW only,all,468,544,0.0,47399.999999999956
development-validation,SLOW only,abrupt_sensor,44,112,150.0,400.0
development-validation,SLOW only,slow_sensor,96,96,37400.0,60800.0
development-validation,Revised CLO-DSF,all,535,544,100.0,45929.99999999999
development-validation,Revised CLO-DSF,abrupt_sensor,111,112,100.0,550.0
development-validation,Revised CLO-DSF,slow_sensor,96,96,37400.0,60800.0
