partition,run_id,model,behavior,start_ms,first_post_alarm_ms,latency_ms,first_integrity_mismatch_ms,integrity_latency_ms,initially_latent_stuck,effective_memory_corruption
development-train,current_0001,stuck_bit,intermittent,25000,30600,5600,30600,0,1,1
development-train,current_0007,stuck_bit,intermittent,26800,30000,3200,30000,0,1,1
development-train,current_0015,stuck_bit,transient,26800,30000,3200,30000,0,1,1
development-train,current_0017,stuck_bit,permanent,25000,30000,5000,30000,0,1,1
development-train,current_0021,stuck_bit,transient,26200,30000,3800,30000,0,1,1
development-train,current_0023,stuck_bit,permanent,26800,30000,3200,30000,0,1,1
development-train,current_0027,stuck_bit,transient,25600,30000,4400,30000,0,1,1
development-train,current_0029,stuck_bit,permanent,26200,30000,3800,30000,0,1,1
development-train,current_0040,sensor_bias,intermittent,24700,39500,14800,-1,,0,0
development-train,current_0041,sensor_bias,intermittent,25000,44600,19600,-1,,0,0
development-train,current_0048,sensor_interface_intermittent,transient,24700,25100,400,-1,,0,0
development-train,current_0052,sensor_interface_intermittent,intermittent,25900,26300,400,-1,,0,0
development-train,current_0056,sensor_interface_intermittent,permanent,24700,25100,400,-1,,0,0
development-train,current_0123,stuck_bit,transient,24700,30000,5300,30000,0,1,1
development-train,current_0125,stuck_bit,permanent,25300,30000,4700,30000,0,1,1
development-train,current_0129,stuck_bit,transient,26500,30000,3500,30000,0,1,1
development-train,current_0131,stuck_bit,permanent,24700,30000,5300,30000,0,1,1
development-train,current_0139,stuck_bit,intermittent,24700,30300,5600,30300,0,1,1
development-train,current_0145,stuck_bit,intermittent,26500,30700,4200,30700,0,1,1
development-train,current_0151,stuck_bit,intermittent,25900,30100,4200,30100,0,1,1
development-train,current_0164,sensor_bias,intermittent,25000,44600,19600,-1,,0,0
development-train,current_0171,sensor_interface_intermittent,transient,24700,25100,400,-1,,0,0
development-train,current_0175,sensor_interface_intermittent,intermittent,25900,26300,400,-1,,0,0
development-train,current_0179,sensor_interface_intermittent,permanent,24700,25100,400,-1,,0,0
development-train,current_0247,stuck_bit,intermittent,25000,30600,5600,30600,0,1,1
development-train,current_0253,stuck_bit,intermittent,26800,30000,3200,30000,0,1,1
development-train,current_0261,stuck_bit,transient,26800,30000,3200,30000,0,1,1
development-train,current_0263,stuck_bit,permanent,25000,30000,5000,30000,0,1,1
development-train,current_0267,stuck_bit,transient,26200,30000,3800,30000,0,1,1
development-train,current_0269,stuck_bit,permanent,26800,30000,3200,30000,0,1,1
development-train,current_0273,stuck_bit,transient,25600,30000,4400,30000,0,1,1
development-train,current_0275,stuck_bit,permanent,26200,30000,3800,30000,0,1,1
development-train,current_0286,sensor_bias,intermittent,24700,39500,14800,-1,,0,0
development-train,current_0287,sensor_bias,intermittent,25000,44600,19600,-1,,0,0
development-train,current_0294,sensor_interface_intermittent,transient,24700,25100,400,-1,,0,0
development-train,current_0298,sensor_interface_intermittent,intermittent,25900,26300,400,-1,,0,0
development-train,current_0302,sensor_interface_intermittent,permanent,24700,25100,400,-1,,0,0
development-train,current_0369,stuck_bit,transient,24700,30000,5300,30000,0,1,1
development-train,current_0371,stuck_bit,permanent,25300,30000,4700,30000,0,1,1
development-train,current_0375,stuck_bit,transient,26500,30000,3500,30000,0,1,1
development-train,current_0377,stuck_bit,permanent,24700,30000,5300,30000,0,1,1
development-train,current_0385,stuck_bit,intermittent,24700,30300,5600,30300,0,1,1
development-train,current_0391,stuck_bit,intermittent,26500,30700,4200,30700,0,1,1
development-train,current_0397,stuck_bit,intermittent,25900,30100,4200,30100,0,1,1
development-train,current_0410,sensor_bias,intermittent,25000,44600,19600,-1,,0,0
development-train,current_0417,sensor_interface_intermittent,transient,24700,25100,400,-1,,0,0
development-train,current_0421,sensor_interface_intermittent,intermittent,25900,26300,400,-1,,0,0
development-train,current_0425,sensor_interface_intermittent,permanent,24700,25100,400,-1,,0,0
development-validation,current_0493,stuck_bit,intermittent,25000,30600,5600,30600,0,1,1
development-validation,current_0499,stuck_bit,intermittent,26800,30000,3200,30000,0,1,1
development-validation,current_0507,stuck_bit,transient,26800,30000,3200,30000,0,1,1
development-validation,current_0509,stuck_bit,permanent,25000,30000,5000,30000,0,1,1
development-validation,current_0513,stuck_bit,transient,26200,30000,3800,30000,0,1,1
development-validation,current_0515,stuck_bit,permanent,26800,30000,3200,30000,0,1,1
development-validation,current_0519,stuck_bit,transient,25600,30000,4400,30000,0,1,1
development-validation,current_0521,stuck_bit,permanent,26200,30000,3800,30000,0,1,1
development-validation,current_0532,sensor_bias,intermittent,24700,39500,14800,-1,,0,0
development-validation,current_0533,sensor_bias,intermittent,25000,44600,19600,-1,,0,0
development-validation,current_0540,sensor_interface_intermittent,transient,24700,25100,400,-1,,0,0
development-validation,current_0544,sensor_interface_intermittent,intermittent,25900,26300,400,-1,,0,0
development-validation,current_0548,sensor_interface_intermittent,permanent,24700,25100,400,-1,,0,0
development-validation,current_0615,stuck_bit,transient,24700,30000,5300,30000,0,1,1
development-validation,current_0617,stuck_bit,permanent,25300,30000,4700,30000,0,1,1
development-validation,current_0621,stuck_bit,transient,26500,30000,3500,30000,0,1,1
development-validation,current_0623,stuck_bit,permanent,24700,30000,5300,30000,0,1,1
development-validation,current_0631,stuck_bit,intermittent,24700,30300,5600,30300,0,1,1
development-validation,current_0637,stuck_bit,intermittent,26500,30700,4200,30700,0,1,1
development-validation,current_0643,stuck_bit,intermittent,25900,30100,4200,30100,0,1,1
development-validation,current_0655,sensor_bias,intermittent,24700,39500,14800,-1,,0,0
development-validation,current_0656,sensor_bias,intermittent,25000,44600,19600,-1,,0,0
development-validation,current_0663,sensor_interface_intermittent,transient,24700,25100,400,-1,,0,0
development-validation,current_0667,sensor_interface_intermittent,intermittent,25900,26300,400,-1,,0,0
development-validation,current_0671,sensor_interface_intermittent,permanent,24700,25100,400,-1,,0,0
