partition,method,group,first_localized,first_correct,alarm_samples,localized_samples,correct_samples,wrong_samples,wrong_runs,unknown_samples,unknown_rate,accuracy_among_localized,correct_fraction_all_alarms,localization_coverage
development-train,Pre-change CLO-DSF,ALL,704,704,279527,278021,278021,0,0,1506,0.00538767274717648,1.0,0.9946123272528236,0.9946123272528236
development-train,Pre-change CLO-DSF,MEMORY,120,120,49544,49544,49544,0,0,0,0.0,1.0,1.0,1.0
development-train,Pre-change CLO-DSF,TIMING,120,120,45412,45412,45412,0,0,0,0.0,1.0,1.0,1.0
development-train,Pre-change CLO-DSF,COMMUNICATION,120,120,34137,34123,34123,0,0,14,0.000410112194979055,1.0,0.9995898878050209,0.9995898878050209
development-train,Pre-change CLO-DSF,SENSOR_CONTROL,224,224,102108,102108,102108,0,0,0,0.0,1.0,1.0,1.0
development-train,Pre-change CLO-DSF,ACTUATOR,120,120,48326,46834,46834,0,0,1492,0.03087364979514133,1.0,0.9691263502048587,0.9691263502048587
development-train,FAST only,ALL,659,659,217845,216339,216339,0,0,1506,0.006913172209598568,1.0,0.9930868277904015,0.9930868277904015
development-train,FAST only,MEMORY,120,120,49544,49544,49544,0,0,0,0.0,1.0,1.0,1.0
development-train,FAST only,TIMING,120,120,45412,45412,45412,0,0,0,0.0,1.0,1.0,1.0
development-train,FAST only,COMMUNICATION,120,120,34137,34123,34123,0,0,14,0.000410112194979055,1.0,0.9995898878050209,0.9995898878050209
development-train,FAST only,SENSOR_CONTROL,179,179,40426,40426,40426,0,0,0,0.0,1.0,1.0,1.0
development-train,FAST only,ACTUATOR,120,120,48326,46834,46834,0,0,1492,0.03087364979514133,1.0,0.9691263502048587,0.9691263502048587
development-train,SLOW only,ALL,704,704,279527,278021,278021,0,0,1506,0.00538767274717648,1.0,0.9946123272528236,0.9946123272528236
development-train,SLOW only,MEMORY,120,120,49544,49544,49544,0,0,0,0.0,1.0,1.0,1.0
development-train,SLOW only,TIMING,120,120,45412,45412,45412,0,0,0,0.0,1.0,1.0,1.0
development-train,SLOW only,COMMUNICATION,120,120,34137,34123,34123,0,0,14,0.000410112194979055,1.0,0.9995898878050209,0.9995898878050209
development-train,SLOW only,SENSOR_CONTROL,224,224,102108,102108,102108,0,0,0,0.0,1.0,1.0,1.0
development-train,SLOW only,ACTUATOR,120,120,48326,46834,46834,0,0,1492,0.03087364979514133,1.0,0.9691263502048587,0.9691263502048587
development-train,Revised CLO-DSF,ALL,803,803,297627,296121,296121,0,0,1506,0.005060024796137447,1.0,0.9949399752038626,0.9949399752038626
development-train,Revised CLO-DSF,MEMORY,120,120,49544,49544,49544,0,0,0,0.0,1.0,1.0,1.0
development-train,Revised CLO-DSF,TIMING,120,120,45412,45412,45412,0,0,0,0.0,1.0,1.0,1.0
development-train,Revised CLO-DSF,COMMUNICATION,120,120,34137,34123,34123,0,0,14,0.000410112194979055,1.0,0.9995898878050209,0.9995898878050209
development-train,Revised CLO-DSF,SENSOR_CONTROL,323,323,120208,120208,120208,0,0,0,0.0,1.0,1.0,1.0
development-train,Revised CLO-DSF,ACTUATOR,120,120,48326,46834,46834,0,0,1492,0.03087364979514133,1.0,0.9691263502048587,0.9691263502048587
development-validation,Pre-change CLO-DSF,ALL,468,468,182478,181400,181400,0,0,1078,0.0059075614594636065,1.0,0.9940924385405364,0.9940924385405364
development-validation,Pre-change CLO-DSF,MEMORY,80,80,30725,30724,30724,0,0,1,3.254678600488202e-05,1.0,0.9999674532139952,0.9999674532139952
development-validation,Pre-change CLO-DSF,TIMING,80,80,29539,29539,29539,0,0,0,0.0,1.0,1.0,1.0
development-validation,Pre-change CLO-DSF,COMMUNICATION,80,80,22427,22422,22422,0,0,5,0.00022294555669505507,1.0,0.9997770544433049,0.9997770544433049
development-validation,Pre-change CLO-DSF,SENSOR_CONTROL,148,148,67517,67517,67517,0,0,0,0.0,1.0,1.0,1.0
development-validation,Pre-change CLO-DSF,ACTUATOR,80,80,32270,31198,31198,0,0,1072,0.03321970870777812,1.0,0.9667802912922219,0.9667802912922219
development-validation,FAST only,ALL,439,439,141778,140700,140700,0,0,1078,0.007603436358250222,1.0,0.9923965636417498,0.9923965636417498
development-validation,FAST only,MEMORY,80,80,30725,30724,30724,0,0,1,3.254678600488202e-05,1.0,0.9999674532139952,0.9999674532139952
development-validation,FAST only,TIMING,80,80,29539,29539,29539,0,0,0,0.0,1.0,1.0,1.0
development-validation,FAST only,COMMUNICATION,80,80,22427,22422,22422,0,0,5,0.00022294555669505507,1.0,0.9997770544433049,0.9997770544433049
development-validation,FAST only,SENSOR_CONTROL,119,119,26817,26817,26817,0,0,0,0.0,1.0,1.0,1.0
development-validation,FAST only,ACTUATOR,80,80,32270,31198,31198,0,0,1072,0.03321970870777812,1.0,0.9667802912922219,0.9667802912922219
development-validation,SLOW only,ALL,468,468,182478,181400,181400,0,0,1078,0.0059075614594636065,1.0,0.9940924385405364,0.9940924385405364
development-validation,SLOW only,MEMORY,80,80,30725,30724,30724,0,0,1,3.254678600488202e-05,1.0,0.9999674532139952,0.9999674532139952
development-validation,SLOW only,TIMING,80,80,29539,29539,29539,0,0,0,0.0,1.0,1.0,1.0
development-validation,SLOW only,COMMUNICATION,80,80,22427,22422,22422,0,0,5,0.00022294555669505507,1.0,0.9997770544433049,0.9997770544433049
development-validation,SLOW only,SENSOR_CONTROL,148,148,67517,67517,67517,0,0,0,0.0,1.0,1.0,1.0
development-validation,SLOW only,ACTUATOR,80,80,32270,31198,31198,0,0,1072,0.03321970870777812,1.0,0.9667802912922219,0.9667802912922219
development-validation,Revised CLO-DSF,ALL,535,535,194487,193409,193409,0,0,1078,0.005542786921490897,1.0,0.9944572130785091,0.9944572130785091
development-validation,Revised CLO-DSF,MEMORY,80,80,30725,30724,30724,0,0,1,3.254678600488202e-05,1.0,0.9999674532139952,0.9999674532139952
development-validation,Revised CLO-DSF,TIMING,80,80,29539,29539,29539,0,0,0,0.0,1.0,1.0,1.0
development-validation,Revised CLO-DSF,COMMUNICATION,80,80,22427,22422,22422,0,0,5,0.00022294555669505507,1.0,0.9997770544433049,0.9997770544433049
development-validation,Revised CLO-DSF,SENSOR_CONTROL,215,215,79526,79526,79526,0,0,0,0.0,1.0,1.0,1.0
development-validation,Revised CLO-DSF,ACTUATOR,80,80,32270,31198,31198,0,0,1072,0.03321970870777812,1.0,0.9667802912922219,0.9667802912922219
