partition,method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,probe_latency_median_ms,probe_latency_p95_ms,probe_latency_max_ms,diagnostic_period_ms,accesses_per_check,probe_checks_per_run,probe_accesses_per_run,persistent_checker_bytes
development-train,Pre-change CLO-DSF,effective_stuck,61,61,0,61,1.0,1.0,0,0,,1.0,1.0,0.0,11400.0,61,1.0,61,0,1.0,1.0,1.0,0.0,0,0.0,61,0,0,61,1.0,61,1.0,61,1.0,61,0,0,0.6702359919017868,0.6704084730484754,0.0,3.969308686507706e-14,0,0,500.0,1800.0,2900,1000,7,121,847,16
development-train,Pre-change CLO-DSF,effective_memory,85,85,0,85,1.0,1.0,0,0,,1.0,1.0,0.0,10959.999999999996,85,1.0,85,0,1.0,1.0,1.0,0.0,0,0.0,85,0,0,85,1.0,85,1.0,85,1.0,85,0,0,0.69234817784,0.6924927870801059,0.0,2.848562704456936e-14,0,0,500.0,1800.0,2900,1000,7,121,847,16
development-train,Pre-change CLO-DSF,dormant_stuck,35,35,0,0,0.0,0.0,0,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9995758072914,0.9995758072914,0.0,0.0,0,0,300.0,1729.9999999999998,2900,1000,7,121,847,16
development-train,Pre-change CLO-DSF,legal_updates,60,0,60,0,,,0,0,0.0,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.99641039165805,0.99641039165805,0.0,0.0,0,0,,,,1000,7,121,847,16
development-train,Memory only,effective_stuck,61,61,0,61,1.0,1.0,0,0,,1.0,1.0,0.0,700.0,61,1.0,61,0,1.0,1.0,1.0,0.0,0,0.0,61,0,0,61,1.0,61,1.0,61,1.0,61,0,0,0.6125640502041148,0.6125770578438032,0.0,3.752334547246307e-24,0,0,500.0,1800.0,2900,1000,7,121,847,16
development-train,Memory only,effective_memory,85,85,0,85,1.0,1.0,0,0,,1.0,1.0,0.0,579.9999999999998,85,1.0,85,0,1.0,1.0,1.0,0.0,0,0.0,85,0,0,85,1.0,85,1.0,85,1.0,85,0,0,0.6509600785040235,0.6509902420508706,0.0,2.9127880123306753e-24,0,0,500.0,1800.0,2900,1000,7,121,847,16
development-train,Memory only,dormant_stuck,35,35,0,35,1.0,1.0,0,0,,1.0,1.0,300.0,1729.9999999999998,35,1.0,35,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.6653594326723143,0.6653594326723143,0.0,8.339097410786967e-26,0,0,300.0,1729.9999999999998,2900,1000,7,121,847,16
development-train,Memory only,legal_updates,60,0,60,0,,,0,0,0.0,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.99641039165805,0.99641039165805,0.0,0.0,0,0,,,,1000,7,121,847,16
development-train,Anchor unavailable,effective_stuck,61,61,0,61,1.0,1.0,0,0,,1.0,1.0,0.0,11400.0,61,1.0,61,0,1.0,1.0,1.0,0.0,0,0.0,61,0,0,61,1.0,61,1.0,61,1.0,61,0,0,0.6702359919017868,0.6704084730484754,0.0,3.969308686507706e-14,0,0,500.0,1800.0,2900,1000,7,121,847,16
development-train,Anchor unavailable,effective_memory,85,85,0,85,1.0,1.0,0,0,,1.0,1.0,0.0,10959.999999999996,85,1.0,85,0,1.0,1.0,1.0,0.0,0,0.0,85,0,0,85,1.0,85,1.0,85,1.0,85,0,0,0.69234817784,0.6924927870801059,0.0,2.848562704456936e-14,0,0,500.0,1800.0,2900,1000,7,121,847,16
