partition,method,group,maximum_probe_gap_ms,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
development-train,A0,effective,1000,77,77,0,77,1.0,1.0,0,0,,1.0,1.0,0.0,800.0,77,1.0,77,0,1.0,1.0,1.0,0.0,0,0.0,75,0,0,77,1.0,75,1.0,75,1.0,75,0,0,0.7316589503925195,0.7316823089312727,0.0,9.293982832353847e-26,0,0
development-train,A0,dormant,1000,43,43,0,29,0.6744186046511628,0.6744186046511628,0,0,,1.0,0.6744186046511628,900.0,900.0,29,1.0,29,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.7466550510280465,0.7466550510280465,0.0,5.633458796969945e-26,0,0
development-train,A0,legal_updates,1000,60,0,60,0,,,0,0,0.0,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9889023518576667,0.9889023518576667,0.0,0.0,0,0
development-train,A1,effective,1100,77,77,0,77,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,77,1.0,77,0,1.0,1.0,1.0,0.0,0,0.0,75,0,0,77,1.0,75,1.0,75,1.0,75,0,0,0.7270440152098312,0.7270607851434155,0.0,9.293982841913896e-26,0,0
development-train,A1,dormant,1100,43,43,0,43,1.0,1.0,0,0,,1.0,1.0,500.0,2090.0,43,1.0,43,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.7344085115574186,0.7344085115574186,0.0,4.917477756923067e-26,0,0
development-train,A1,legal_updates,1100,60,0,60,0,,,0,0,0.0,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9889023518576667,0.9889023518576667,0.0,0.0,0,0
development-train,A2,effective,1000,77,77,0,77,1.0,1.0,0,0,,1.0,1.0,0.0,800.0,77,1.0,77,0,1.0,1.0,1.0,0.0,0,0.0,75,0,0,77,1.0,75,1.0,75,1.0,75,0,0,0.7316589503925195,0.7316823089312727,0.0,9.293982832353847e-26,0,0
development-train,A2,dormant,1000,43,43,0,29,0.6744186046511628,0.6744186046511628,0,0,,1.0,0.6744186046511628,900.0,900.0,29,1.0,29,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.7466550510280465,0.7466550510280465,0.0,5.633458796969945e-26,0,0
development-train,A2,legal_updates,1000,60,0,60,0,,,0,0,0.0,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9889023518576667,0.9889023518576667,0.0,0.0,0,0
development-train,A3,effective,1000,77,77,0,77,1.0,1.0,0,0,,1.0,1.0,0.0,800.0,77,1.0,77,0,1.0,1.0,1.0,0.0,0,0.0,75,0,0,77,1.0,75,1.0,75,1.0,75,0,0,0.7316589503925195,0.7316823089312727,0.0,9.293982832353847e-26,0,0
