partition,method,initially_latent_stuck,effective_corruption,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
development-train,Revised CLO-DSF,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,,,,,0,0
development-train,Revised CLO-DSF,0,1,84,84,0,84,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,84,1.0,84,0,1.0,1.0,1.0,0.0,0,0.0,84,0,0,84,1.0,84,1.0,84,1.0,84,0,0,0.7064676386856429,0.706646685063881,0.0,1.234905152388334e-28,0,0
development-train,Revised CLO-DSF,1,0,30,30,0,0,0.0,0.0,0,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9995807955499,0.9995807955499,0.0,0.0,0,0
development-train,Revised CLO-DSF,1,1,30,30,0,30,1.0,1.0,0,0,,1.0,1.0,4200.0,5600.0,30,1.0,30,0,1.0,1.0,1.0,0.0,0,0.0,26,0,0,30,1.0,26,1.0,26,1.0,26,0,0,0.8005535115004,0.8015570659837,0.0,6.94328603015006e-28,0,0
development-train,Pre-change CLO-DSF,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,,,,,0,0
development-train,Pre-change CLO-DSF,0,1,84,84,0,84,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,84,1.0,84,0,1.0,1.0,1.0,0.0,0,0.0,84,0,0,84,1.0,84,1.0,84,1.0,84,0,0,0.7064676386856429,0.706646685063881,0.0,1.234905152388334e-28,0,0
development-train,Pre-change CLO-DSF,1,0,30,30,0,0,0.0,0.0,0,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9995807955499,0.9995807955499,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,1,1,30,30,0,30,1.0,1.0,0,0,,1.0,1.0,4200.0,5600.0,30,1.0,30,0,1.0,1.0,1.0,0.0,0,0.0,26,0,0,30,1.0,26,1.0,26,1.0,26,0,0,0.8005535115004,0.8015570659837,0.0,6.94328603015006e-28,0,0
development-train,Weighted Sum,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,,,,,0,0
development-train,Weighted Sum,0,1,84,84,0,84,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,84,1.0,0,0,0,84,1.0,84,1.0,84,1.0,84,0,0,1.0,1.0,0.0,0.0,0,0
