run_id,origin,model,behavior,magnitude,stuck_polarity,start_ms,duration_ms,group,partition,profile,workload,seed,simulation_duration_ms,sensor_variation,profile_semantic_sha256,configuration_sha256,initially_latent_stuck,effective_memory_corruption,first_integrity_mismatch_ms,first_consumption_mismatch_ms,first_sensor_residual_ms,first_positive_feature_ms,max_sensor_strength,raw_sha256,runtime_trace_sha256,method,first_alarm_ms,first_post_alarm_ms,origin_at_alarm,leading_at_alarm,origin_score_at_alarm,origin_margin_at_alarm,origin_ignorance_at_alarm,first_localization_ms,first_origin,samples,alarm_samples,pre_alarm_samples,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_samples,high_localization_conflict_samples,propagation_samples,alarm_UNKNOWN,alarm_MEMORY,alarm_TIMING,alarm_COMMUNICATION,alarm_SENSOR_CONTROL,alarm_ACTUATOR,injected,detected,false_alarm,latency_ms,integrity_latency_ms,control_effect,actuator_effect,plant_manifestation,propagation_plant_ms,propagation_control_ms,propagation_actuator_command_ms,silent_plant,wrong_localized_runtime_samples,miss_category,localized_correct,unknown_at_alarm,localized_wrong,localization_before_plant
current_0036,SENSOR_CONTROL,sensor_bias,transient,-1.2,0,25900,9700,operating_family_0,development-train,current_profile_0036,static_target,1237,120000,0:0:6000,e863c3ae2cec6dae9152dbfef21ac5c6dc3ddc408eb5f0ccf5458595c7eb2ac2,cfa3ca4de076e5407effbd74bd5cbaef8b044fd4cef57b3a46afd56462439f2b,0,0,-1,-1,25900,25900,0.4762420654296875,c8540658820a26287d908d4ace3908b965748febd306cc2522268517d999ee87,f4bded7b8b4723ee6ab5be6ea19a41e1d63932f0e387b30e1207cde858be6654,Revised CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.99432395747,0.99432395747,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26000,25900,25900,1,0,A,0,0,0,0
current_0036,SENSOR_CONTROL,sensor_bias,transient,-1.2,0,25900,9700,operating_family_0,development-train,current_profile_0036,static_target,1237,120000,0:0:6000,e863c3ae2cec6dae9152dbfef21ac5c6dc3ddc408eb5f0ccf5458595c7eb2ac2,cfa3ca4de076e5407effbd74bd5cbaef8b044fd4cef57b3a46afd56462439f2b,0,0,-1,-1,25900,25900,0.4762420654296875,c8540658820a26287d908d4ace3908b965748febd306cc2522268517d999ee87,f4bded7b8b4723ee6ab5be6ea19a41e1d63932f0e387b30e1207cde858be6654,Pre-change CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.99432395747,0.99432395747,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26000,25900,25900,1,0,A,0,0,0,0
current_0037,SENSOR_CONTROL,sensor_bias,transient,1.2,0,26200,13700,operating_family_0,development-train,current_profile_0037,authorized_updates,1238,120000,0:0:6000,babbc3cdd5b543624a9419db30da0542ccf4576f60058fb395b1fa1b99507778,50e870cda495b9950eb19e9a159842e79c09a72e9266bb32aa6c5a54db5aafc2,0,0,-1,-1,26200,26200,0.480224609375,969a2cfd8660765593333fafb1bf3a755f83a9b2fd8d9a1a75c156427d2d2c24,e40f59908975b0548b343cfafeee835a51721ded56a2153c03e56be362c8ae64,Revised CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.99431953717,0.99431953717,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26300,26200,26200,1,0,A,0,0,0,0
current_0037,SENSOR_CONTROL,sensor_bias,transient,1.2,0,26200,13700,operating_family_0,development-train,current_profile_0037,authorized_updates,1238,120000,0:0:6000,babbc3cdd5b543624a9419db30da0542ccf4576f60058fb395b1fa1b99507778,50e870cda495b9950eb19e9a159842e79c09a72e9266bb32aa6c5a54db5aafc2,0,0,-1,-1,26200,26200,0.480224609375,969a2cfd8660765593333fafb1bf3a755f83a9b2fd8d9a1a75c156427d2d2c24,e40f59908975b0548b343cfafeee835a51721ded56a2153c03e56be362c8ae64,Pre-change CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.99431953717,0.99431953717,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26300,26200,26200,1,0,A,0,0,0,0
current_0044,SENSOR_CONTROL,sensor_bias,permanent,-1.2,0,25900,18500,operating_family_0,development-train,current_profile_0044,static_target,1245,120000,0:0:6000,dd564e22979e80244c7e97d1b25af0da2417bc53dac58ec9a08fd42d1a7f6d6f,b273e50c98e147a12e4aa5a51ef471ee401e3672c1832d6f3db6e1d65ae0ec21,0,0,-1,-1,25900,25900,0.4751129150390625,6be05124fee28381e6bdf2307c5b36bbff8084def87dc2c1df72beffe18dd0cd,aead230d140c94504982144a8cd55d54048202a0f4035e8bcd7f75dab6ea7236,Revised CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.994346558625,0.994346558625,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26000,25900,25900,1,0,A,0,0,0,0
current_0044,SENSOR_CONTROL,sensor_bias,permanent,-1.2,0,25900,18500,operating_family_0,development-train,current_profile_0044,static_target,1245,120000,0:0:6000,dd564e22979e80244c7e97d1b25af0da2417bc53dac58ec9a08fd42d1a7f6d6f,b273e50c98e147a12e4aa5a51ef471ee401e3672c1832d6f3db6e1d65ae0ec21,0,0,-1,-1,25900,25900,0.4751129150390625,6be05124fee28381e6bdf2307c5b36bbff8084def87dc2c1df72beffe18dd0cd,aead230d140c94504982144a8cd55d54048202a0f4035e8bcd7f75dab6ea7236,Pre-change CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.994346558625,0.994346558625,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26000,25900,25900,1,0,A,0,0,0,0
current_0045,SENSOR_CONTROL,sensor_bias,permanent,1.2,0,26200,9700,operating_family_0,development-train,current_profile_0045,authorized_updates,1246,120000,0:0:6000,fdbdc2b673c1e44916cf0f5453166a3a7168a735956e4c19ea16f8752a128a61,43867aefed047817178036176e09a2494856bc3b81f0c1a2c9b370da3f7576c8,0,0,-1,-1,26200,26200,0.4800148010253906,50985e0106e40683333f2d9ff762d2cb8814e6425520dc7fbea1f116f505c56f,43426d65fbb3ff005cd4d37e22db2632c08a9fddab751f93cd491126d85d0893,Revised CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.994353374002,0.994353374002,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26300,26200,26200,1,0,A,0,0,0,0
current_0045,SENSOR_CONTROL,sensor_bias,permanent,1.2,0,26200,9700,operating_family_0,development-train,current_profile_0045,authorized_updates,1246,120000,0:0:6000,fdbdc2b673c1e44916cf0f5453166a3a7168a735956e4c19ea16f8752a128a61,43867aefed047817178036176e09a2494856bc3b81f0c1a2c9b370da3f7576c8,0,0,-1,-1,26200,26200,0.4800148010253906,50985e0106e40683333f2d9ff762d2cb8814e6425520dc7fbea1f116f505c56f,43426d65fbb3ff005cd4d37e22db2632c08a9fddab751f93cd491126d85d0893,Pre-change CLO-DSF,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.994353374002,0.994353374002,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26300,26200,26200,1,0,A,0,0,0,0
current_0048,SENSOR_CONTROL,sensor_interface_intermittent,transient,0.5,0,24700,9700,operating_family_0,development-train,current_profile_0048,static_target,1249,120000,0:0:6000,2a68fdb4bcc3345fe9d4357f4eede9b06037740207f366ba936dced56713ab99,0a1abc24964fb82419507427e302f34e3a4553e1ec2f60283da087887831cb5a,0,0,-1,-1,24800,24800,0.37987518310546875,63633d26d2dbed45549912c2d3ba18172a41acb8c4a6a87cbe34ec758e50f721,a3a7a0fbb665cfc5cf76dedc0241d8e3cd5af1160ea70cd1c4d6b25bfe8f1c1d,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,25600,24700,24700,1,0,A,0,0,0,0
current_0052,SENSOR_CONTROL,sensor_interface_intermittent,intermittent,0.5,0,25900,13700,operating_family_0,development-train,current_profile_0052,static_target,1253,120000,0:0:6000,7913db8bc0607e0571193ef1777c782e014a797c6a7eea8c9565679e111191b8,0c39c07cd0ad0dfb5b4df69cd48664accbb50044f5d41bcd39bf787182c1aa38,0,0,-1,-1,26000,26000,0.37982177734375,330e8e19e6d2f0b6e883ddd2a44b58929fe4d901e73e323d4b1f08a41bf6abb6,d591e50af4eb7a06b5b1635760f5ea2751de66a74f47783129ab5c426b5e023a,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,1,26800,25900,25900,1,0,A,0,0,0,0
