partition,method,origin,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
development-train,Revised CLO-DSF,MEMORY,144,144,0,114,0.7916666666666666,0.7916666666666666,0,0,,1.0,0.7916666666666666,0.0,5300.0,114,1.0,114,0,1.0,1.0,1.0,0.0,0,0.0,110,0,0,114,1.0,110,1.0,110,1.0,110,0,0,0.7871341032021042,0.7874476207734306,0.0,2.1668792618411237e-28,0,0
development-train,Revised CLO-DSF,TIMING,24,24,0,24,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,24,1.0,24,0,1.0,1.0,1.0,0.0,0,0.0,14,0,0,24,1.0,24,1.0,14,1.0,14,0,0,0.6953858352117084,0.6953858352117084,0.0,1.0185345988666825e-25,0,0
development-train,Revised CLO-DSF,COMMUNICATION,108,108,0,108,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,108,1.0,108,0,1.0,1.0,1.0,0.0,0,0.0,60,0,0,108,1.0,108,1.0,60,1.0,60,0,0,0.7134083499813055,0.7134681434227592,0.0,1.6515008650287231e-21,0,0
development-train,Revised CLO-DSF,SENSOR_CONTROL,96,96,0,78,0.8125,0.8125,18,0,,1.0,0.8125,0.0,15519.99999999996,78,1.0,78,0,1.0,1.0,1.0,0.0,0,0.0,57,0,0,96,0.8125,96,0.8125,96,0.8125,57,12,9,0.9238033665332708,0.9238033665332708,0.0,0.0,0,0
development-train,Revised CLO-DSF,ACTUATOR,48,48,0,48,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,48,1.0,48,0,1.0,1.0,1.0,0.0,0,0.0,48,0,0,48,1.0,48,1.0,48,1.0,48,0,0,0.82371804802025,0.8480694693617291,0.0,8.803367801684452e-27,0,0
development-train,Pre-change CLO-DSF,MEMORY,144,144,0,114,0.7916666666666666,0.7916666666666666,0,0,,1.0,0.7916666666666666,0.0,5300.0,114,1.0,114,0,1.0,1.0,1.0,0.0,0,0.0,110,0,0,114,1.0,110,1.0,110,1.0,110,0,0,0.7871341032021042,0.7874476207734306,0.0,2.1668792618411237e-28,0,0
development-train,Pre-change CLO-DSF,TIMING,24,24,0,24,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,24,1.0,24,0,1.0,1.0,1.0,0.0,0,0.0,14,0,0,24,1.0,24,1.0,14,1.0,14,0,0,0.6953858352117084,0.6953858352117084,0.0,1.0185345988666825e-25,0,0
development-train,Pre-change CLO-DSF,COMMUNICATION,108,108,0,108,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,108,1.0,108,0,1.0,1.0,1.0,0.0,0,0.0,60,0,0,108,1.0,108,1.0,60,1.0,60,0,0,0.7134083499813055,0.7134681434227592,0.0,1.6515008650287231e-21,0,0
development-train,Pre-change CLO-DSF,SENSOR_CONTROL,96,96,0,78,0.8125,0.8125,18,0,,1.0,0.8125,0.0,15519.99999999996,78,1.0,78,0,1.0,1.0,1.0,0.0,0,0.0,57,0,0,96,0.8125,96,0.8125,96,0.8125,57,12,9,0.9238033665332708,0.9238033665332708,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,ACTUATOR,48,48,0,48,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,48,1.0,48,0,1.0,1.0,1.0,0.0,0,0.0,48,0,0,48,1.0,48,1.0,48,1.0,48,0,0,0.82371804802025,0.8480694693617291,0.0,8.803367801684452e-27,0,0
development-train,Weighted Sum,MEMORY,144,144,0,114,0.7916666666666666,0.7916666666666666,0,0,,1.0,0.7916666666666666,0.0,5104.999999999998,0,0.0,0,0,0.0,0.0,,0.0,114,1.0,0,0,0,114,1.0,110,1.0,110,1.0,110,0,0,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,TIMING,24,24,0,24,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,24,1.0,0,0,0,24,1.0,24,1.0,14,1.0,14,0,0,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,COMMUNICATION,108,108,0,84,0.7777777777777778,0.7777777777777778,4,0,,1.0,0.7777777777777778,200.0,5000.0,0,0.0,0,0,0.0,0.0,,0.0,84,1.0,0,0,0,108,0.7777777777777778,108,0.7777777777777778,60,0.9333333333333333,56,0,0,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,SENSOR_CONTROL,96,96,0,90,0.9375,0.9375,6,0,,1.0,0.9375,0.0,4100.0,0,0.0,0,0,0.0,0.0,,0.0,90,1.0,0,0,0,96,0.9375,96,0.9375,96,0.9375,72,0,18,1.0,1.0,0.0,0.0,0,0
development-train,Weighted Sum,ACTUATOR,48,48,0,39,0.8125,0.8125,9,0,,1.0,0.8125,0.0,4460.000000000001,0,0.0,0,0,0.0,0.0,,0.0,39,1.0,0,0,0,48,0.8125,48,0.8125,48,0.8125,33,0,6,1.0,1.0,0.0,0.0,0,0
development-validation,Revised CLO-DSF,MEMORY,72,72,0,57,0.7916666666666666,0.7916666666666666,0,0,,1.0,0.7916666666666666,0.0,5300.0,57,1.0,57,0,1.0,1.0,1.0,0.0,0,0.0,57,0,0,57,1.0,57,1.0,57,1.0,57,0,0,0.7872879509656527,0.7877913317131111,0.0,1.1923744094097626e-06,0,0
development-validation,Revised CLO-DSF,TIMING,12,12,0,12,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,12,1.0,12,0,1.0,1.0,1.0,0.0,0,0.0,7,0,0,12,1.0,12,1.0,7,1.0,7,0,0,0.6956135436078333,0.6956139286120834,0.0,2.002107615768129e-06,0,0
development-validation,Revised CLO-DSF,COMMUNICATION,54,54,0,54,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,54,1.0,54,0,1.0,1.0,1.0,0.0,0,0.0,33,0,0,54,1.0,54,1.0,33,1.0,33,0,0,0.7135952662557037,0.7137084692831852,0.0,1.773519080146214e-06,0,0
development-validation,Revised CLO-DSF,SENSOR_CONTROL,48,48,0,40,0.8333333333333334,0.8333333333333334,8,0,,1.0,0.8333333333333334,0.0,15039.999999999985,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,27,0,0,48,0.8333333333333334,48,0.8333333333333334,48,0.8333333333333334,27,6,7,0.9236683987871458,0.9236683987871458,0.0,0.0,0,0
development-validation,Revised CLO-DSF,ACTUATOR,24,24,0,24,1.0,1.0,0,0,,1.0,1.0,0.0,284.9999999999998,24,1.0,24,0,1.0,1.0,1.0,0.0,0,0.0,24,0,0,24,1.0,24,1.0,24,1.0,24,0,0,0.8176665401946667,0.84029930333,0.0,5.8840550682005e-13,0,0
development-validation,Pre-change CLO-DSF,MEMORY,72,72,0,57,0.7916666666666666,0.7916666666666666,0,0,,1.0,0.7916666666666666,0.0,5300.0,57,1.0,57,0,1.0,1.0,1.0,0.0,0,0.0,57,0,0,57,1.0,57,1.0,57,1.0,57,0,0,0.7872879509656527,0.7877913317131111,0.0,1.1923744094097626e-06,0,0
development-validation,Pre-change CLO-DSF,TIMING,12,12,0,12,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,12,1.0,12,0,1.0,1.0,1.0,0.0,0,0.0,7,0,0,12,1.0,12,1.0,7,1.0,7,0,0,0.6956135436078333,0.6956139286120834,0.0,2.002107615768129e-06,0,0
development-validation,Pre-change CLO-DSF,COMMUNICATION,54,54,0,54,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,54,1.0,54,0,1.0,1.0,1.0,0.0,0,0.0,33,0,0,54,1.0,54,1.0,33,1.0,33,0,0,0.7135952662557037,0.7137084692831852,0.0,1.773519080146214e-06,0,0
development-validation,Pre-change CLO-DSF,SENSOR_CONTROL,48,48,0,40,0.8333333333333334,0.8333333333333334,8,0,,1.0,0.8333333333333334,0.0,15039.999999999985,40,1.0,40,0,1.0,1.0,1.0,0.0,0,0.0,27,0,0,48,0.8333333333333334,48,0.8333333333333334,48,0.8333333333333334,27,6,7,0.9236683987871458,0.9236683987871458,0.0,0.0,0,0
development-validation,Pre-change CLO-DSF,ACTUATOR,24,24,0,24,1.0,1.0,0,0,,1.0,1.0,0.0,284.9999999999998,24,1.0,24,0,1.0,1.0,1.0,0.0,0,0.0,24,0,0,24,1.0,24,1.0,24,1.0,24,0,0,0.8176665401946667,0.84029930333,0.0,5.8840550682005e-13,0,0
