partition,comparator,workload,both,only_current,only_comparator,neither,current_faster,same_latency,current_slower
development-train,Pre-change CLO-DSF,all,372,0,0,48,0,372,0
development-train,Pre-change CLO-DSF,static_target,172,0,0,38,0,172,0
development-train,Pre-change CLO-DSF,authorized_updates,200,0,0,10,0,200,0
development-train,Weighted Sum,all,333,39,18,30,84,235,14
development-train,Weighted Sum,static_target,133,39,8,30,24,105,4
development-train,Weighted Sum,authorized_updates,200,0,10,0,60,130,10
development-validation,Pre-change CLO-DSF,all,187,0,0,23,0,187,0
development-validation,Pre-change CLO-DSF,static_target,86,0,0,19,0,86,0
development-validation,Pre-change CLO-DSF,authorized_updates,101,0,0,4,0,101,0
development-validation,Weighted Sum,all,169,18,8,15,42,119,8
development-validation,Weighted Sum,static_target,68,18,4,15,12,54,2
development-validation,Weighted Sum,authorized_updates,101,0,4,0,30,65,6
