partition,method,chain,model,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
development-train,Pre-change CLO-DSF,primary,ALL,156,156,0,140,0.8974358974358975,0.8974358974358975,16,0,,1.0,0.8974358974358975,22400.0,54200.0,140,1.0,140,0,1.0,1.0,1.0,0.0,0,0.0,22,0,0,156,0.8974358974358975,156,0.8974358974358975,156,0.8974358974358975,22,19,99,0.7469704852570193,0.7469704852570193,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,primary,sensor_bias_ramp,72,72,0,72,1.0,1.0,0,0,,1.0,1.0,37400.0,58400.0,72,1.0,72,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,72,1.0,72,1.0,72,1.0,0,0,72,0.6259505221270556,0.6259505221270556,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,primary,sensor_bias,48,48,0,32,0.6666666666666666,0.6666666666666666,16,0,,1.0,0.6666666666666666,200.0,400.0,32,1.0,32,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,48,0.6666666666666666,48,0.6666666666666666,48,0.6666666666666666,0,7,25,0.982651918729375,0.982651918729375,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,primary,sensor_interface_intermittent,36,36,0,36,1.0,1.0,0,0,,1.0,1.0,200.0,400.0,36,1.0,36,0,1.0,1.0,1.0,0.0,0,0.0,22,0,0,36,1.0,36,1.0,36,1.0,22,12,2,0.6747685002204722,0.6747685002204722,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,reference,ALL,168,168,0,84,0.5,0.5,0,0,,1.0,0.5,31900.0,60800.0,84,1.0,84,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.8079071553787024,0.8079071553787024,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,reference,sensor_bias_ramp,72,72,0,72,1.0,1.0,0,0,,1.0,1.0,36550.0,60800.0,72,1.0,72,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.6253649636130556,0.6253649636130556,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,reference,sensor_bias,48,48,0,0,0.0,0.0,0,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9929100316876458,0.9929100316876458,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,reference,sensor_interface_intermittent,36,36,0,0,0.0,0.0,0,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9964647857535556,0.9964647857535556,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,reference,sensor_dropout,12,12,0,12,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,12,1.0,12,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.59747590961225,0.59747590961225,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,common_mode,ALL,12,12,0,0,0.0,0.0,12,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,12,0.0,12,0.0,12,0.0,0,0,0,0.9964864524885,0.9964864524885,0.0,0.0,0,0
development-train,Pre-change CLO-DSF,common_mode,sensor_bias_ramp,12,12,0,0,0.0,0.0,12,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,12,0.0,12,0.0,12,0.0,0,0,0,0.9964864524885,0.9964864524885,0.0,0.0,0,0
development-train,FAST only,primary,ALL,156,156,0,84,0.5384615384615384,0.5384615384615384,72,0,,1.0,0.5384615384615384,100.0,300.0,84,1.0,84,0,1.0,1.0,1.0,0.0,0,0.0,22,0,0,156,0.5384615384615384,156,0.5384615384615384,156,0.5384615384615384,22,60,2,0.9039233842683141,0.9039233842683141,0.0,0.0,0,0
development-train,FAST only,primary,sensor_bias_ramp,72,72,0,0,0.0,0.0,72,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,72,0.0,72,0.0,72,0.0,0,0,0,0.9964759118462778,0.9964759118462778,0.0,0.0,0,0
development-train,FAST only,primary,sensor_bias,48,48,0,48,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,48,1.0,48,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,48,1.0,48,1.0,48,1.0,0,48,0,0.9902929838694167,0.9902929838694167,0.0,0.0,0,0
development-train,FAST only,primary,sensor_interface_intermittent,36,36,0,36,1.0,1.0,0,0,,1.0,1.0,200.0,400.0,36,1.0,36,0,1.0,1.0,1.0,0.0,0,0.0,22,0,0,36,1.0,36,1.0,36,1.0,22,12,2,0.6036588629775833,0.6036588629775833,0.0,0.0,0,0
development-train,FAST only,reference,ALL,168,168,0,95,0.5654761904761905,0.5654761904761905,0,0,,1.0,0.5654761904761905,100.0,729.9999999999998,95,1.0,95,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.8822532440724881,0.8822532440724881,0.0,0.0,0,0
development-train,FAST only,reference,sensor_bias_ramp,72,72,0,0,0.0,0.0,0,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9964640684170556,0.9964640684170556,0.0,0.0,0,0
development-train,FAST only,reference,sensor_bias,48,48,0,48,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,48,1.0,48,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.990683892641875,0.990683892641875,0.0,0.0,0,0
development-train,FAST only,reference,sensor_interface_intermittent,36,36,0,35,0.9722222222222222,0.9722222222222222,0,0,,1.0,0.9722222222222222,300.0,800.0,35,1.0,35,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.60418317544425,0.60418317544425,0.0,0.0,0,0
