partition,method,origin,alarm_samples,localized_samples,correct_samples,wrong_samples,wrong_runs,unknown_samples,unknown_rate,accuracy_among_localized,correct_fraction_all_alarms,localization_coverage
development-train,Revised CLO-DSF,ALL,101392,99849,99849,0,0,1543,0.01521816316869181,1.0,0.9847818368313082,0.9847818368313082
development-train,Revised CLO-DSF,MEMORY,36512,36474,36474,0,0,38,0.0010407537248028045,1.0,0.9989592462751972,0.9989592462751972
development-train,Revised CLO-DSF,TIMING,8728,8728,8728,0,0,0,0.0,1.0,1.0,1.0
development-train,Revised CLO-DSF,COMMUNICATION,36786,36784,36784,0,0,2,5.43685097591475e-05,1.0,0.9999456314902408,0.9999456314902408
development-train,Revised CLO-DSF,SENSOR_CONTROL,9188,9188,9188,0,0,0,0.0,1.0,1.0,1.0
development-train,Revised CLO-DSF,ACTUATOR,10178,8675,8675,0,0,1503,0.14767144822165454,1.0,0.8523285517783454,0.8523285517783454
development-train,Pre-change CLO-DSF,ALL,101392,99849,99849,0,0,1543,0.01521816316869181,1.0,0.9847818368313082,0.9847818368313082
development-train,Pre-change CLO-DSF,MEMORY,36512,36474,36474,0,0,38,0.0010407537248028045,1.0,0.9989592462751972,0.9989592462751972
development-train,Pre-change CLO-DSF,TIMING,8728,8728,8728,0,0,0,0.0,1.0,1.0,1.0
development-train,Pre-change CLO-DSF,COMMUNICATION,36786,36784,36784,0,0,2,5.43685097591475e-05,1.0,0.9999456314902408,0.9999456314902408
development-train,Pre-change CLO-DSF,SENSOR_CONTROL,9188,9188,9188,0,0,0,0.0,1.0,1.0,1.0
development-train,Pre-change CLO-DSF,ACTUATOR,10178,8675,8675,0,0,1503,0.14767144822165454,1.0,0.8523285517783454,0.8523285517783454
development-validation,Revised CLO-DSF,ALL,50918,50172,50172,0,0,746,0.014651007502258534,1.0,0.9853489924977414,0.9853489924977414
development-validation,Revised CLO-DSF,MEMORY,18253,18237,18237,0,0,16,0.0008765682353585712,1.0,0.9991234317646415,0.9991234317646415
development-validation,Revised CLO-DSF,TIMING,4364,4364,4364,0,0,0,0.0,1.0,1.0,1.0
development-validation,Revised CLO-DSF,COMMUNICATION,18392,18392,18392,0,0,0,0.0,1.0,1.0,1.0
development-validation,Revised CLO-DSF,SENSOR_CONTROL,4613,4613,4613,0,0,0,0.0,1.0,1.0,1.0
development-validation,Revised CLO-DSF,ACTUATOR,5296,4566,4566,0,0,730,0.13783987915407855,1.0,0.8621601208459214,0.8621601208459214
development-validation,Pre-change CLO-DSF,ALL,50918,50172,50172,0,0,746,0.014651007502258534,1.0,0.9853489924977414,0.9853489924977414
development-validation,Pre-change CLO-DSF,MEMORY,18253,18237,18237,0,0,16,0.0008765682353585712,1.0,0.9991234317646415,0.9991234317646415
development-validation,Pre-change CLO-DSF,TIMING,4364,4364,4364,0,0,0,0.0,1.0,1.0,1.0
development-validation,Pre-change CLO-DSF,COMMUNICATION,18392,18392,18392,0,0,0,0.0,1.0,1.0,1.0
development-validation,Pre-change CLO-DSF,SENSOR_CONTROL,4613,4613,4613,0,0,0,0.0,1.0,1.0,1.0
development-validation,Pre-change CLO-DSF,ACTUATOR,5296,4566,4566,0,0,730,0.13783987915407855,1.0,0.8621601208459214,0.8621601208459214
