partition,method,chain,model,sign,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
development-train,A0,ALL,ALL,ALL,336,336,0,294,0.875,0.875,25,0,,1.0,0.875,800.0,54800.0,294,1.0,294,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,168,0.8392857142857143,168,0.8392857142857143,164,0.8475609756097561,12,50,77,0.7340641707317351,0.7340641707317351,0.0,0.0,0,0
development-train,A0,ALL,ALL,positive,198,198,0,168,0.8484848484848485,0.8484848484848485,16,0,,1.0,0.8484848484848485,550.0,51300.0,168,1.0,168,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,102,0.8235294117647058,102,0.8235294117647058,98,0.8367346938775511,12,29,41,0.7153665906071515,0.7153665906071515,0.0,0.0,0,0
development-train,A0,ALL,ALL,negative,138,138,0,126,0.9130434782608695,0.9130434782608695,9,0,,1.0,0.9130434782608695,21700.0,54875.0,126,1.0,126,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,66,0.8636363636363636,66,0.8636363636363636,66,0.8636363636363636,0,21,36,0.7608911335191811,0.7608911335191811,0.0,0.0,0,0
development-train,A0,ALL,sensor_bias,ALL,96,96,0,79,0.8229166666666666,0.8229166666666666,9,0,,1.0,0.8229166666666666,100.0,300.0,79,1.0,79,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,48,0.8125,48,0.8125,48,0.8125,0,38,1,0.9929219029549792,0.9929219029549792,0.0,0.0,0,0
development-train,A0,ALL,sensor_bias,positive,48,48,0,37,0.7708333333333334,0.7708333333333334,6,0,,1.0,0.7708333333333334,100.0,300.0,37,1.0,37,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,24,0.75,24,0.75,24,0.75,0,17,1,0.9931113319990833,0.9931113319990833,0.0,0.0,0,0
development-train,A0,ALL,sensor_bias,negative,48,48,0,42,0.875,0.875,3,0,,1.0,0.875,100.0,100.0,42,1.0,42,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,24,0.875,24,0.875,24,0.875,0,21,0,0.992732473910875,0.992732473910875,0.0,0.0,0,0
development-train,A0,ALL,sensor_interface_intermittent,ALL,72,72,0,59,0.8194444444444444,0.8194444444444444,4,0,,1.0,0.8194444444444444,300.0,800.0,59,1.0,59,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,36,0.8333333333333334,36,0.8333333333333334,32,0.875,12,12,4,0.6134929878784305,0.6134929878784305,0.0,0.0,0,0
development-train,A0,ALL,sensor_interface_intermittent,positive,72,72,0,59,0.8194444444444444,0.8194444444444444,4,0,,1.0,0.8194444444444444,300.0,800.0,59,1.0,59,0,1.0,1.0,1.0,0.0,0,0.0,12,0,0,36,0.8333333333333334,36,0.8333333333333334,32,0.875,12,12,4,0.6134929878784305,0.6134929878784305,0.0,0.0,0,0
development-train,A0,ALL,sensor_bias_ramp,ALL,156,156,0,144,0.9230769230769231,0.9230769230769231,12,0,,1.0,0.9230769230769231,35750.0,56700.0,144,1.0,144,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,84,0.8571428571428571,84,0.8571428571428571,84,0.8571428571428571,0,0,72,0.6405560467326282,0.6405560467326282,0.0,0.0,0,0
development-train,A0,ALL,sensor_bias_ramp,positive,78,78,0,72,0.9230769230769231,0.9230769230769231,6,0,,1.0,0.9230769230769231,35250.0,56645.0,72,1.0,72,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,42,0.8571428571428571,42,0.8571428571428571,42,0.8571428571428571,0,0,36,0.6384839215001666,0.6384839215001666,0.0,0.0,0,0
