run_id,origin,model,behavior,magnitude,stuck_polarity,start_ms,duration_ms,group,partition,profile,workload,seed,simulation_duration_ms,sensor_variation,initially_latent_stuck,profile_semantic_sha256,reference_seed,sensor_chain,sensor_ramp_rise_ms,reference_offset,reference_noise,benign_reference_magnitude,benign_reference_duration,configuration_sha256,effective_memory_corruption,first_integrity_mismatch_ms,first_consumption_mismatch_ms,first_sensor_residual_ms,first_positive_feature_ms,max_sensor_strength,raw_sha256,runtime_trace_sha256,method,first_alarm_ms,first_post_alarm_ms,origin_at_alarm,leading_at_alarm,origin_score_at_alarm,origin_margin_at_alarm,origin_ignorance_at_alarm,first_localization_ms,first_origin,samples,alarm_samples,pre_alarm_samples,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_samples,high_localization_conflict_samples,propagation_samples,alarm_UNKNOWN,alarm_MEMORY,alarm_TIMING,alarm_COMMUNICATION,alarm_SENSOR_CONTROL,alarm_ACTUATOR,injected,detected,false_alarm,latency_ms,integrity_latency_ms,control_effect,actuator_effect,plant_manifestation,propagation_plant_ms,propagation_control_ms,propagation_actuator_command_ms,silent_plant,wrong_localized_runtime_samples,miss_category,localized_correct,unknown_at_alarm,localized_wrong,localization_before_plant
final_redundant_0000,MEMORY,stuck_bit,transient,0,0,17300,7600,final_redundant_family_0,final-unseen,final_redundant_profile_0000,static_target,7600009,120000,0.015:0:13100,1,0eea8ecb744c85ec578d0a6e38ab048d3a4230831275ea0f254fd70aa7bd1a63,9600017,none,0,-0.117,0.025,0,0,218611dfdf1bba8380882381be3de95c2a8a62a88764cd2b62c00623d1f3180b,0,-1,-1,38700,18000,0.0018463134765625,52c0c1de0cf47a728f8858a7751ea29c9dfcba13cb238967f46cf1d77149fd75,4fd90a11a3e5f25a2280b47e43d05368b83b0a5a3d0f87db035d9a74e349ebb0,Revised CLO-DSF,18000,18000,MEMORY,MEMORY,1.0,1.0,0.0,18000,MEMORY,1201,73,0,0.938376992866,0.938376992866,0.0,6.50400156637e-20,0,0,0,0,73,0,0,0,0,1,1,0,700,,0,0,0,,,,0,0,,1,0,0,0
final_redundant_0000,MEMORY,stuck_bit,transient,0,0,17300,7600,final_redundant_family_0,final-unseen,final_redundant_profile_0000,static_target,7600009,120000,0.015:0:13100,1,0eea8ecb744c85ec578d0a6e38ab048d3a4230831275ea0f254fd70aa7bd1a63,9600017,none,0,-0.117,0.025,0,0,218611dfdf1bba8380882381be3de95c2a8a62a88764cd2b62c00623d1f3180b,0,-1,-1,38700,18000,0.0018463134765625,52c0c1de0cf47a728f8858a7751ea29c9dfcba13cb238967f46cf1d77149fd75,4fd90a11a3e5f25a2280b47e43d05368b83b0a5a3d0f87db035d9a74e349ebb0,Pre-change CLO-DSF,18000,18000,MEMORY,MEMORY,1.0,1.0,0.0,18000,MEMORY,1201,73,0,0.938376992866,0.938376992866,0.0,6.50400156637e-20,0,0,0,0,73,0,0,0,0,1,1,0,700,,0,0,0,,,,0,0,,1,0,0,0
final_redundant_0000,MEMORY,stuck_bit,transient,0,0,17300,7600,final_redundant_family_0,final-unseen,final_redundant_profile_0000,static_target,7600009,120000,0.015:0:13100,1,0eea8ecb744c85ec578d0a6e38ab048d3a4230831275ea0f254fd70aa7bd1a63,9600017,none,0,-0.117,0.025,0,0,218611dfdf1bba8380882381be3de95c2a8a62a88764cd2b62c00623d1f3180b,0,-1,-1,38700,18000,0.0018463134765625,52c0c1de0cf47a728f8858a7751ea29c9dfcba13cb238967f46cf1d77149fd75,4fd90a11a3e5f25a2280b47e43d05368b83b0a5a3d0f87db035d9a74e349ebb0,Plain DS,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,0.500000382552,0.500000382552,7.67237553334e-07,7.67237553334e-07,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,,,,0,0,A,0,0,0,0
final_redundant_0000,MEMORY,stuck_bit,transient,0,0,17300,7600,final_redundant_family_0,final-unseen,final_redundant_profile_0000,static_target,7600009,120000,0.015:0:13100,1,0eea8ecb744c85ec578d0a6e38ab048d3a4230831275ea0f254fd70aa7bd1a63,9600017,none,0,-0.117,0.025,0,0,218611dfdf1bba8380882381be3de95c2a8a62a88764cd2b62c00623d1f3180b,0,-1,-1,38700,18000,0.0018463134765625,52c0c1de0cf47a728f8858a7751ea29c9dfcba13cb238967f46cf1d77149fd75,4fd90a11a3e5f25a2280b47e43d05368b83b0a5a3d0f87db035d9a74e349ebb0,Simple OR,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,,,,0,0,A,0,0,0,0
final_redundant_0000,MEMORY,stuck_bit,transient,0,0,17300,7600,final_redundant_family_0,final-unseen,final_redundant_profile_0000,static_target,7600009,120000,0.015:0:13100,1,0eea8ecb744c85ec578d0a6e38ab048d3a4230831275ea0f254fd70aa7bd1a63,9600017,none,0,-0.117,0.025,0,0,218611dfdf1bba8380882381be3de95c2a8a62a88764cd2b62c00623d1f3180b,0,-1,-1,38700,18000,0.0018463134765625,52c0c1de0cf47a728f8858a7751ea29c9dfcba13cb238967f46cf1d77149fd75,4fd90a11a3e5f25a2280b47e43d05368b83b0a5a3d0f87db035d9a74e349ebb0,Weighted Sum,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,,,,0,0,A,0,0,0,0
final_redundant_0000,MEMORY,stuck_bit,transient,0,0,17300,7600,final_redundant_family_0,final-unseen,final_redundant_profile_0000,static_target,7600009,120000,0.015:0:13100,1,0eea8ecb744c85ec578d0a6e38ab048d3a4230831275ea0f254fd70aa7bd1a63,9600017,none,0,-0.117,0.025,0,0,218611dfdf1bba8380882381be3de95c2a8a62a88764cd2b62c00623d1f3180b,0,-1,-1,38700,18000,0.0018463134765625,52c0c1de0cf47a728f8858a7751ea29c9dfcba13cb238967f46cf1d77149fd75,4fd90a11a3e5f25a2280b47e43d05368b83b0a5a3d0f87db035d9a74e349ebb0,Hybrid,-1,-1,UNKNOWN,UNKNOWN,0.0,0.0,0.0,-1,UNKNOWN,1201,0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,,,,0,0,A,0,0,0,0
final_redundant_0001,MEMORY,stuck_bit,intermittent,0,0,18000,13200,final_redundant_family_0,final-unseen,final_redundant_profile_0001,authorized_updates,7600110,120000,0.045:0:13100,1,a04da37a022dfced9aba10ce6e4be55cb3a28f0cd65e75f9f15cbc41f0add13b,9600126,none,0,-0.078,0.055,0,0,cb42000d97ff2c1188265acd3d3ef01daac9f63f5f7b2baa04e2609710201234,0,-1,-1,38700,18000,0.0359039306640625,d6eef58b798cc6d39ba009da094f0ed235d6b727806e35603a20f1da4e30d649,45d1921440bec5f5d630c2caceab4e173e46e4ffaa77fd1121ef806c60d383af,Revised CLO-DSF,18000,18000,MEMORY,MEMORY,1.0,1.0,0.0,18000,MEMORY,1201,91,0,0.919619098971,0.919619098974,0.0,7.39151873695e-13,0,0,0,0,91,0,0,0,0,1,1,0,0,,0,0,0,,,,0,0,,1,0,0,0
final_redundant_0001,MEMORY,stuck_bit,intermittent,0,0,18000,13200,final_redundant_family_0,final-unseen,final_redundant_profile_0001,authorized_updates,7600110,120000,0.045:0:13100,1,a04da37a022dfced9aba10ce6e4be55cb3a28f0cd65e75f9f15cbc41f0add13b,9600126,none,0,-0.078,0.055,0,0,cb42000d97ff2c1188265acd3d3ef01daac9f63f5f7b2baa04e2609710201234,0,-1,-1,38700,18000,0.0359039306640625,d6eef58b798cc6d39ba009da094f0ed235d6b727806e35603a20f1da4e30d649,45d1921440bec5f5d630c2caceab4e173e46e4ffaa77fd1121ef806c60d383af,Pre-change CLO-DSF,18000,18000,MEMORY,MEMORY,1.0,1.0,0.0,18000,MEMORY,1201,91,0,0.919619098971,0.919619098974,0.0,7.39151873695e-13,0,0,0,0,91,0,0,0,0,1,1,0,0,,0,0,0,,,,0,0,,1,0,0,0
final_redundant_0001,MEMORY,stuck_bit,intermittent,0,0,18000,13200,final_redundant_family_0,final-unseen,final_redundant_profile_0001,authorized_updates,7600110,120000,0.045:0:13100,1,a04da37a022dfced9aba10ce6e4be55cb3a28f0cd65e75f9f15cbc41f0add13b,9600126,none,0,-0.078,0.055,0,0,cb42000d97ff2c1188265acd3d3ef01daac9f63f5f7b2baa04e2609710201234,0,-1,-1,38700,18000,0.0359039306640625,d6eef58b798cc6d39ba009da094f0ed235d6b727806e35603a20f1da4e30d649,45d1921440bec5f5d630c2caceab4e173e46e4ffaa77fd1121ef806c60d383af,Plain DS,42100,42100,MEMORY,MEMORY,1.0,1.0,0.0,42100,MEMORY,1201,395,0,0.335566134135,0.335566134135,0.000162412956932,0.000162412956932,0,0,0,0,395,0,0,0,0,1,1,0,24100,,0,0,0,,,,0,0,,1,0,0,0
final_redundant_0001,MEMORY,stuck_bit,intermittent,0,0,18000,13200,final_redundant_family_0,final-unseen,final_redundant_profile_0001,authorized_updates,7600110,120000,0.045:0:13100,1,a04da37a022dfced9aba10ce6e4be55cb3a28f0cd65e75f9f15cbc41f0add13b,9600126,none,0,-0.078,0.055,0,0,cb42000d97ff2c1188265acd3d3ef01daac9f63f5f7b2baa04e2609710201234,0,-1,-1,38700,18000,0.0359039306640625,d6eef58b798cc6d39ba009da094f0ed235d6b727806e35603a20f1da4e30d649,45d1921440bec5f5d630c2caceab4e173e46e4ffaa77fd1121ef806c60d383af,Simple OR,42100,42100,UNKNOWN,UNKNOWN,0.0,0.0,1.0,-1,UNKNOWN,1201,395,0,1.0,1.0,0.0,0.0,0,0,0,395,0,0,0,0,0,1,1,0,24100,,0,0,0,,,,0,0,,0,1,0,0
