method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,ci_low,ci_high
Revised CLO-DSF,ALL,1500,1200,300,984,0.82,0.8200000000000001,158,0,0.0,1.0,0.82,0.0,484.9999999999909,984,1.0,984,0,1.0,1.0,1.0,0.0,0,0.0,757,0,0,1144,0.8601398601398601,1142,0.8598949211908932,973,0.8376156217882836,757,20,38,0.824164168993868,0.8256886234814533,0.0,6.193348607195324e-07,0,0,0.7972525277108347,0.840705231903415
Revised CLO-DSF,MEMORY,240,240,0,184,0.7666666666666667,0.7666666666666667,0,0,,1.0,0.7666666666666667,0.0,7454.999999999998,184,1.0,184,0,1.0,1.0,1.0,0.0,0,0.0,182,0,0,184,1.0,182,1.0,182,1.0,182,0,0,0.785037082772875,0.7854151335262334,0.0,1.2429751070024842e-06,0,0,0.7092129217389285,0.815718320958907
Revised CLO-DSF,TIMING,240,240,0,240,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,240,1.0,240,0,1.0,1.0,1.0,0.0,0,0.0,191,0,0,240,1.0,240,1.0,194,1.0,191,3,0,0.7062985882535917,0.7063008047428584,0.0,2.8716324871638655e-07,0,0,0.9842460800584412,1
Revised CLO-DSF,COMMUNICATION,240,240,0,240,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,240,1.0,240,0,1.0,1.0,1.0,0.0,0,0.0,119,0,0,240,1.0,240,1.0,119,1.0,119,0,0,0.82560827762185,0.8257767674240875,0.0,2.339649028805257e-06,0,0,0.9842460800584412,1
Revised CLO-DSF,SENSOR_CONTROL,240,240,0,80,0.3333333333333333,0.3333333333333333,158,0,,1.0,0.3333333333333333,200.0,1300.0,80,1.0,80,0,1.0,1.0,1.0,0.0,0,0.0,25,0,0,240,0.3333333333333333,240,0.3333333333333333,238,0.33613445378151263,25,17,38,0.9447141401730875,0.9447141401730875,0.0,0.0,0,0,0.27673259766097397,0.39518537565287887
Revised CLO-DSF,ACTUATOR,240,240,0,240,1.0,1.0,0,0,,1.0,1.0,0.0,300.0,240,1.0,240,0,1.0,1.0,1.0,0.0,0,0.0,240,0,0,240,1.0,240,1.0,240,1.0,240,0,0,0.6422086152734292,0.651187698775975,0.0,1.055494972950166e-09,0,0,0.9842460800584412,1
Revised CLO-DSF,effective_memory,184,184,0,184,1.0,1.0,0,0,,1.0,1.0,0.0,7454.999999999998,184,1.0,184,0,1.0,1.0,1.0,0.0,0,0.0,182,0,0,184,1.0,182,1.0,182,1.0,182,0,0,0.7197267615183315,0.720219871196625,0.0,1.6212718786988923e-06,0,0,0.9795494623774134,0.9999999999999999
Revised CLO-DSF,dormant_memory,56,56,0,0,0.0,0.0,0,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9996281383235178,0.9996281383235178,0.0,0.0,0,0,6.938893903907228e-18,0.06419393671876342
Revised CLO-DSF,weak_isolated_bias,40,40,0,14,0.35,0.35,26,0,,1.0,0.35,200.0,2119.999999999998,14,1.0,14,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,40,0.35,40,0.35,40,0.35,0,0,14,0.996345428364775,0.996345428364775,0.0,0.0,0,0,0.2213452887317629,0.5049411916274231
Revised CLO-DSF,baseline,300,0,300,0,,,0,0,0.0,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9977274816934734,0.9977274816934734,0.0,0.0,0,0,,
Revised CLO-DSF,bit_flip,60,60,0,60,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,60,1.0,60,0,1.0,1.0,1.0,0.0,0,0.0,60,0,0,60,1.0,60,1.0,60,1.0,60,0,0,0.7617947320696666,0.7623584759714833,0.0,1.7541552917591668e-06,0,0,0.93982814785791,0.9999999999999998
Revised CLO-DSF,deadline_miss,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,79,0,0,120,1.0,120,1.0,79,1.0,79,0,0,0.7258406293774583,0.725842955343675,0.0,3.019221805536814e-07,0,0,0.9689808335812966,1
Revised CLO-DSF,delayed_update,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,80,1.0,80,0,1.0,1.0,1.0,0.0,0,0.0,38,0,0,80,1.0,80,1.0,38,1.0,38,0,0,0.789603594529525,0.789637103768,0.0,1.197229970529305e-07,0,0,0.9541818704644728,0.9999999999999999
Revised CLO-DSF,dropped_update,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,80,1.0,80,0,1.0,1.0,1.0,0.0,0,0.0,38,0,0,80,1.0,80,1.0,38,1.0,38,0,0,0.8999134609071875,0.9002425569349874,0.0,6.876078598324347e-06,0,0,0.9541818704644728,0.9999999999999999
Revised CLO-DSF,fan_stuck_off,60,60,0,60,1.0,1.0,0,0,,1.0,1.0,100.0,400.0,60,1.0,60,0,1.0,1.0,1.0,0.0,0,0.0,60,0,0,60,1.0,60,1.0,60,1.0,60,0,0,0.6065615356929,0.6424778550816833,0.0,3.4085734166380605e-29,0,0,0.93982814785791,0.9999999999999998
Revised CLO-DSF,pump_degraded,180,180,0,180,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,180,1.0,180,0,1.0,1.0,1.0,0.0,0,0.0,180,0,0,180,1.0,180,1.0,180,1.0,180,0,0,0.6540909751336056,0.6540909800074055,0.0,1.4073266306002215e-09,0,0,0.9791045020783868,1
Revised CLO-DSF,replayed_sample,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,80,1.0,80,0,1.0,1.0,1.0,0.0,0,0.0,43,0,0,80,1.0,80,1.0,43,1.0,43,0,0,0.7873077774288375,0.787450641569275,0.0,2.3145491038492665e-08,0,0,0.9541818704644728,0.9999999999999999
Revised CLO-DSF,sensor_bias,60,60,0,25,0.4166666666666667,0.4166666666666667,35,0,,1.0,0.4166666666666667,200.0,5500.0,25,1.0,25,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,60,0.4166666666666667,60,0.4166666666666667,60,0.4166666666666667,0,0,25,0.9947073655965166,0.9947073655965166,0.0,0.0,0,0,0.30064278558341617,0.5427191897735989
Revised CLO-DSF,sensor_bias_ramp,120,120,0,0,0.0,0.0,120,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,120,0.0,120,0.0,120,0.0,0,0,0,0.9991508083517083,0.9991508083517083,0.0,0.0,0,0,0,0.031019166418703486
Revised CLO-DSF,sensor_interface_intermittent,60,60,0,55,0.9166666666666666,0.9166666666666666,3,0,,1.0,0.9166666666666666,100.0,900.0,55,1.0,55,0,1.0,1.0,1.0,0.0,0,0.0,25,0,0,60,0.9166666666666666,60,0.9166666666666666,58,0.9482758620689655,25,17,13,0.7858475783924167,0.7858475783924167,0.0,0.0,0,0,0.8193105798166558,0.9638795433982692
Revised CLO-DSF,stuck_bit,180,180,0,124,0.6888888888888889,0.6888888888888889,0,0,,1.0,0.6888888888888889,0.0,7500.0,124,1.0,124,0,1.0,1.0,1.0,0.0,0,0.0,122,0,0,124,1.0,122,1.0,122,1.0,122,0,0,0.7927845330072778,0.7931006860444834,0.0,1.07258171208359e-06,0,0,0.6179052403139406,0.7519786826934499
Revised CLO-DSF,task_delay,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,120,1.0,120,0,1.0,1.0,1.0,0.0,0,0.0,112,0,0,120,1.0,120,1.0,115,1.0,112,3,0,0.686756547129725,0.6867586541420416,0.0,2.724043168790917e-07,0,0,0.9689808335812966,1
Weighted Sum,ALL,1500,1200,300,943,0.7858333333333334,0.7858333333333334,157,150,0.5,0.8627630375114365,0.7858333333333334,100.0,6500.0,0,0.0,0,0,0.0,0.0,,0.0,943,1.0,0,0,0,1144,0.8146853146853147,1142,0.8143607705779334,973,0.8386433710174718,627,7,182,1.0,1.0,0.0,0.0,0,0,0.7617291045184298,0.8081133734703401
