method,origin,detected,median_ms,p95_ms,max_ms
Revised CLO-DSF,MEMORY,184,0.0,7454.999999999998,18100
Revised CLO-DSF,TIMING,240,50.0,100.0,100
Revised CLO-DSF,COMMUNICATION,240,0.0,0.0,0
Revised CLO-DSF,SENSOR_CONTROL,80,200.0,1300.0,12700
Revised CLO-DSF,ACTUATOR,240,0.0,300.0,400
Weighted Sum,MEMORY,194,0.0,6734.999999999999,7600
Weighted Sum,TIMING,240,50.0,100.0,100
Weighted Sum,COMMUNICATION,178,200.0,5600.0,6400
Weighted Sum,SENSOR_CONTROL,138,4500.0,7215.000000000001,7700
Weighted Sum,ACTUATOR,193,100.0,6139.999999999998,7600
Simple OR,MEMORY,179,0.0,6809.999999999999,7600
Simple OR,TIMING,240,50.0,100.0,100
Simple OR,COMMUNICATION,178,200.0,5600.0,6400
Simple OR,SENSOR_CONTROL,135,4600.0,7230.0,7700
Simple OR,ACTUATOR,171,400.0,6800.0,7600
Plain DS,MEMORY,164,0.0,6884.999999999999,7600
Plain DS,TIMING,240,50.0,100.0,100
Plain DS,COMMUNICATION,178,200.0,5600.0,6400
Plain DS,SENSOR_CONTROL,135,4600.0,7230.0,7700
Plain DS,ACTUATOR,169,400.0,6800.0,7600
Hybrid,MEMORY,146,4400.0,7525.0,62500
Hybrid,TIMING,140,6000.0,9404.999999999998,14300
Hybrid,COMMUNICATION,153,200.0,6900.0,8400
Hybrid,SENSOR_CONTROL,195,3900.0,20839.9999999998,38300
Hybrid,ACTUATOR,215,1100.0,5729.999999999998,13700
Timing Monitor,TIMING,240,50.0,100.0,100
