group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
MEMORY,240,240,0,235,0.9791666666666666,0.9791666666666666,0,0,,1.0,0.9791666666666666,0.0,800.0,235,1.0,235,0,1.0,1.0,1.0,0.0,0,0.0,154,0,0,163,1.0,154,1.0,154,1.0,154,0,0,0.6872989972687208,0.68735188649925,0.0,3.4577403558160624e-06,0,0
TIMING,240,240,0,240,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,240,1.0,240,0,1.0,1.0,1.0,0.0,0,0.0,157,0,0,240,1.0,214,1.0,157,1.0,157,0,0,0.6864798984649834,0.6864859231640041,0.0,1.672252203228446e-06,0,0
COMMUNICATION,240,240,0,240,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,240,1.0,240,0,1.0,1.0,1.0,0.0,0,0.0,107,0,0,211,1.0,211,1.0,107,1.0,107,0,0,0.7665054166854125,0.7665833498030376,0.0,4.366362957343662e-06,0,0
SENSOR_CONTROL,240,240,0,138,0.575,0.575,51,0,,1.0,0.575,200.0,43700.0,138,1.0,138,0,1.0,1.0,1.0,0.0,0,0.0,9,0,0,134,0.5,134,0.5,116,0.5603448275862069,9,30,26,0.8479355416000833,0.8479355416000833,0.0,0.0,0,0
ACTUATOR,240,240,0,227,0.9458333333333333,0.9458333333333333,0,0,,1.0,0.9458333333333333,0.0,15289.999999999993,227,1.0,227,0,1.0,1.0,1.0,0.0,0,0.0,222,0,0,226,1.0,226,1.0,222,1.0,222,0,0,0.6472586786534291,0.6570636198708875,0.0,3.068784529073208e-07,0,0
primary/sensor_bias_ramp,30,30,0,20,0.6666666666666666,0.6666666666666666,10,0,,1.0,0.6666666666666666,41850.0,44900.0,20,1.0,20,0,1.0,1.0,1.0,0.0,0,0.0,1,0,0,30,0.6666666666666666,30,0.6666666666666666,30,0.6666666666666666,1,0,19,0.7501715186301666,0.7501715186301666,0.0,0.0,0,0
primary/sensor_bias,40,40,0,30,0.75,0.75,0,0,,1.0,0.75,100.0,300.0,30,1.0,30,0,1.0,1.0,1.0,0.0,0,0.0,2,0,0,36,0.7777777777777778,36,0.7777777777777778,27,1.0,2,22,3,0.938447632912475,0.938447632912475,0.0,0.0,0,0
primary/sensor_interface_intermittent,30,30,0,20,0.6666666666666666,0.6666666666666666,1,0,,1.0,0.6666666666666666,200.0,300.0,20,1.0,20,0,1.0,1.0,1.0,0.0,0,0.0,6,0,0,28,0.6785714285714286,28,0.6785714285714286,19,0.9473684210526315,6,8,4,0.7231431997742667,0.7231431997742667,0.0,0.0,0,0
reference/sensor_bias_ramp,30,30,0,20,0.6666666666666666,0.6666666666666666,0,0,,1.0,0.6666666666666666,42450.0,43705.0,20,1.0,20,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.7507809502321,0.7507809502321,0.0,0.0,0,0
reference/sensor_bias,40,40,0,28,0.7,0.7,0,0,,1.0,0.7,100.0,100.0,28,1.0,28,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.94295934026525,0.94295934026525,0.0,0.0,0,0
reference/sensor_interface_intermittent,30,30,0,20,0.6666666666666666,0.6666666666666666,0,0,,1.0,0.6666666666666666,300.0,505.00000000000006,20,1.0,20,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.7187250131770667,0.7187250131770667,0.0,0.0,0,0
common_mode/sensor_bias_ramp,40,40,0,0,0.0,0.0,40,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,40,0.0,40,0.0,40,0.0,0,0,0,0.999090765062575,0.999090765062575,0.0,0.0,0,0
effective_memory,163,163,0,163,1.0,1.0,0,0,,1.0,1.0,0.0,200.0,163,1.0,163,0,1.0,1.0,1.0,0.0,0,0.0,154,0,0,163,1.0,154,1.0,154,1.0,154,0,0,0.6715700924616196,0.6716437506714785,0.0,4.210812507594564e-06,0,0
dormant_memory,77,77,0,72,0.935064935064935,0.935064935064935,0,0,,1.0,0.935064935064935,400.0,845.0000000000002,72,1.0,72,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.720595250301935,0.7206041740307663,0.0,1.8635746319213123e-06,0,0
legal_updates,150,0,150,0,,,0,0,0.0,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9961004499950267,0.9961004499950267,0.0,0.0,0,0
