run_id,category,active_probe_opportunities,plant_manifestation
final_redundant_0007,dormant intermittent probe-phase gap,0,0
final_redundant_0304,dormant intermittent probe-phase gap,0,0
final_redundant_0382,no observed actuator/plant effect or positive evidence,,0
final_redundant_0604,dormant intermittent probe-phase gap,0,0
final_redundant_0607,dormant intermittent probe-phase gap,0,0
final_redundant_0822,no observed actuator/plant effect or positive evidence,,0
final_redundant_0823,no observed actuator/plant effect or positive evidence,,0
final_redundant_0825,no observed actuator/plant effect or positive evidence,,0
final_redundant_0826,no observed actuator/plant effect or positive evidence,,0
final_redundant_0828,no observed actuator/plant effect or positive evidence,,0
final_redundant_0829,no observed actuator/plant effect or positive evidence,,0
final_redundant_0831,no observed actuator/plant effect or positive evidence,,0
final_redundant_0832,no observed actuator/plant effect or positive evidence,,0
final_redundant_0834,no observed actuator/plant effect or positive evidence,,0
final_redundant_0835,no observed actuator/plant effect or positive evidence,,0
final_redundant_0837,no observed actuator/plant effect or positive evidence,,0
final_redundant_0838,no observed actuator/plant effect or positive evidence,,0
final_redundant_1204,dormant intermittent probe-phase gap,0,0
