chain,model,absolute_magnitude,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
primary,sensor_bias_ramp,0.85,10,10,0,0,0.0,0.0,10,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,10,0.0,10,0.0,10,0.0,0,0,0,0.9662049935233,0.9662049935233,0.0,0.0,0,0
primary,sensor_bias_ramp,1.65,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,42650.0,44900.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,10,1.0,10,1.0,10,1.0,0,0,10,0.6755336092253,0.6755336092253,0.0,0.0,0,0
primary,sensor_bias_ramp,2.75,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,41850.0,42655.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,1,0,0,10,1.0,10,1.0,10,1.0,1,0,9,0.6087759531419,0.6087759531419,0.0,0.0,0,0
primary,sensor_bias,0.49,10,10,0,0,0.0,0.0,0,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,8,0.0,8,0.0,0,,0,0,0,0.997413602026,0.997413602026,0.0,0.0,0,0
primary,sensor_bias,0.67,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,100.0,300.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,9,1.0,9,1.0,8,1.0,0,5,3,0.9943396361534,0.9943396361534,0.0,0.0,0,0
primary,sensor_bias,0.87,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,9,1.0,9,1.0,9,1.0,0,9,0,0.9897023854499,0.9897023854499,0.0,0.0,0,0
primary,sensor_bias,1.13,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,2,0,0,10,1.0,10,1.0,10,1.0,2,8,0,0.7723349080206,0.7723349080206,0.0,0.0,0,0
primary,sensor_interface_intermittent,0.39,10,10,0,0,0.0,0.0,1,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,9,0.0,9,0.0,1,0.0,0,0,0,0.997502460197,0.997502460197,0.0,0.0,0,0
primary,sensor_interface_intermittent,0.59,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,250.0,300.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,1,0,0,9,1.0,9,1.0,8,1.0,1,5,2,0.9793353327669,0.9793353327669,0.0,0.0,0,0
primary,sensor_interface_intermittent,1.27,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,100.0,200.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,5,0,0,10,1.0,10,1.0,10,1.0,5,3,2,0.1925918063589,0.1925918063589,0.0,0.0,0,0
reference,sensor_bias_ramp,0.85,10,10,0,0,0.0,0.0,0,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9990500751537,0.9990500751537,0.0,0.0,0,0
reference,sensor_bias_ramp,1.65,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,42600.0,43755.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.6617991841134,0.6617991841134,0.0,0.0,0,0
reference,sensor_bias_ramp,2.75,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,41850.0,43500.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.5914935914292,0.5914935914292,0.0,0.0,0,0
reference,sensor_bias,0.49,10,10,0,0,0.0,0.0,0,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9991533694262,0.9991533694262,0.0,0.0,0,0
reference,sensor_bias,0.67,10,10,0,8,0.8,0.8,0,0,,1.0,0.8,100.0,100.0,8,1.0,8,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.9957195869216999,0.9957195869216999,0.0,0.0,0,0
reference,sensor_bias,0.87,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.9903363849391,0.9903363849391,0.0,0.0,0,0
reference,sensor_bias,1.13,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.786628019774,0.786628019774,0.0,0.0,0,0
reference,sensor_interface_intermittent,0.39,10,10,0,0,0.0,0.0,0,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,0.9991534989929,0.9991534989929,0.0,0.0,0,0
reference,sensor_interface_intermittent,0.59,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,400.0,554.9999999999999,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.980832071225,0.980832071225,0.0,0.0,0,0
reference,sensor_interface_intermittent,1.27,10,10,0,10,1.0,1.0,0,0,,1.0,1.0,200.0,300.0,10,1.0,10,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.1761894693133,0.1761894693133,0.0,0.0,0,0
common_mode,sensor_bias_ramp,1.05,20,20,0,0,0.0,0.0,20,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,20,0.0,20,0.0,20,0.0,0,0,0,0.99909390034065,0.99909390034065,0.0,0.0,0,0
common_mode,sensor_bias_ramp,2.65,20,20,0,0,0.0,0.0,20,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,20,0.0,20,0.0,20,0.0,0,0,0,0.9990876297845,0.9990876297845,0.0,0.0,0,0
