method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs
Revised CLO-DSF,primary/ALL,100,100,0,70,0.7,0.7,11,0,,1.0,0.7,100.0,44855.0,70,1.0,70,0,1.0,1.0,1.0,0.0,0,0.0,9,0,0,94,0.7127659574468085,94,0.7127659574468085,76,0.8552631578947368,9,30,26,0.81737346868632,0.81737346868632,0.0,0.0,0,0
Revised CLO-DSF,primary/sensor_bias_ramp,30,30,0,20,0.6666666666666666,0.6666666666666666,10,0,,1.0,0.6666666666666666,41850.0,44900.0,20,1.0,20,0,1.0,1.0,1.0,0.0,0,0.0,1,0,0,30,0.6666666666666666,30,0.6666666666666666,30,0.6666666666666666,1,0,19,0.7501715186301666,0.7501715186301666,0.0,0.0,0,0
Revised CLO-DSF,primary/sensor_bias,40,40,0,30,0.75,0.75,0,0,,1.0,0.75,100.0,300.0,30,1.0,30,0,1.0,1.0,1.0,0.0,0,0.0,2,0,0,36,0.7777777777777778,36,0.7777777777777778,27,1.0,2,22,3,0.938447632912475,0.938447632912475,0.0,0.0,0,0
Revised CLO-DSF,primary/sensor_interface_intermittent,30,30,0,20,0.6666666666666666,0.6666666666666666,1,0,,1.0,0.6666666666666666,200.0,300.0,20,1.0,20,0,1.0,1.0,1.0,0.0,0,0.0,6,0,0,28,0.6785714285714286,28,0.6785714285714286,19,0.9473684210526315,6,8,4,0.7231431997742667,0.7231431997742667,0.0,0.0,0,0
Revised CLO-DSF,reference/ALL,100,100,0,68,0.68,0.68,0,0,,1.0,0.68,250.0,43700.0,68,1.0,68,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.81803552512885,0.81803552512885,0.0,0.0,0,0
Revised CLO-DSF,reference/sensor_bias_ramp,30,30,0,20,0.6666666666666666,0.6666666666666666,0,0,,1.0,0.6666666666666666,42450.0,43705.0,20,1.0,20,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.7507809502321,0.7507809502321,0.0,0.0,0,0
Revised CLO-DSF,reference/sensor_bias,40,40,0,28,0.7,0.7,0,0,,1.0,0.7,100.0,100.0,28,1.0,28,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.94295934026525,0.94295934026525,0.0,0.0,0,0
Revised CLO-DSF,reference/sensor_interface_intermittent,30,30,0,20,0.6666666666666666,0.6666666666666666,0,0,,1.0,0.6666666666666666,300.0,505.00000000000006,20,1.0,20,0,1.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,0,,0,,0,0,0,0.7187250131770667,0.7187250131770667,0.0,0.0,0,0
Revised CLO-DSF,common_mode/ALL,40,40,0,0,0.0,0.0,40,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,40,0.0,40,0.0,40,0.0,0,0,0,0.999090765062575,0.999090765062575,0.0,0.0,0,0
Revised CLO-DSF,common_mode/sensor_bias_ramp,40,40,0,0,0.0,0.0,40,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,40,0.0,40,0.0,40,0.0,0,0,0,0.999090765062575,0.999090765062575,0.0,0.0,0,0
