method,origin,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,silent_plant_rate,localization_latency_median_ms,localization_latency_p95_ms,coverage_wilson_low,coverage_wilson_high,benign_false_alarm_rate_wilson_low,benign_false_alarm_rate_wilson_high,plant_coverage_wilson_low,plant_coverage_wilson_high,silent_plant_rate_wilson_low,silent_plant_rate_wilson_high,localization_coverage_wilson_low,localization_coverage_wilson_high,localized_accuracy_wilson_low,localized_accuracy_wilson_high,correct_among_alarms_wilson_low,correct_among_alarms_wilson_high,unknown_rate_wilson_low,unknown_rate_wilson_high,wrong_origin_rate_wilson_low,wrong_origin_rate_wilson_high
Final CLO-DSF,MEMORY,144,144,0,108,0.75,0.75,0,0,,1.0,0.75,0.0,300.0,108,1.0,108,0,1.0,1.0,1.0,0.0,0,0.0,72,0,0,108,1.0,108,1.0,108,1.0,72,0,36,0.8528139011215555,0.8529147901093889,0.0,0.006602525415071872,0,8,0.0,0.0,300.0,0.6734032433458373,0.8136049380826443,,,0.9656526402534428,0.9999999999999999,0,0.034347359746557025,0.9656526402534428,0.9999999999999999,0.9656526402534428,0.9999999999999999,0.9656526402534428,0.9999999999999999,0,0.034347359746557025,0,0.034347359746557025
Final CLO-DSF,TIMING,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,144,1.0,144,0,1.0,1.0,1.0,0.0,0,0.0,82,0,0,144,1.0,120,1.0,82,1.0,82,0,0,0.7874265475714514,0.7874265475714514,0.0,1.3186231721399346e-13,0,0,0.0,50.0,100.0,0.9740163628569635,1,,,0.9552493763098998,1,0,0.04475062369010033,0.9740163628569635,1,0.9740163628569635,1,0.9740163628569635,1,0,0.025983637143036746,0,0.025983637143036746
Final CLO-DSF,COMMUNICATION,144,144,0,96,0.6666666666666666,0.6666666666666666,6,0,,1.0,0.6666666666666666,100.0,200.0,96,1.0,96,0,1.0,1.0,1.0,0.0,0,0.0,63,0,0,120,0.7333333333333333,120,0.7333333333333333,69,0.9130434782608695,63,0,0,0.8701424546274861,0.8701424546274861,0.0,0.0,0,0,0.08695652173913043,100.0,200.0,0.5862249854783737,0.7384471354739475,,,0.8229850166105782,0.959536378798466,0.040463621201533975,0.1770149833894218,0.9615244121423243,1,0.9615244121423243,1,0.9615244121423243,1,3.469446951953614e-18,0.038475587857675686,3.469446951953614e-18,0.038475587857675686
Final CLO-DSF,SENSOR_CONTROL,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,144,1.0,0,0,0,144,1.0,144,1.0,144,1.0,144,0,0,0.9626120363811805,0.9626120363811805,0.0,0.0,0,0,0.0,,,0.9740163628569635,1,,,0.9740163628569635,1,0,0.025983637143036746,0,0.025983637143036746,,,0,0.025983637143036746,0.9740163628569635,1,0,0.025983637143036746
Final CLO-DSF,ACTUATOR,144,144,0,114,0.7916666666666666,0.7916666666666666,30,0,,1.0,0.7916666666666666,0.0,139.99999999999773,114,1.0,114,0,1.0,1.0,1.0,0.0,0,0.0,108,0,0,144,0.7916666666666666,144,0.7916666666666666,144,0.7916666666666666,108,0,6,0.9151654266845763,0.9154342331190486,0.0,0.004136816473321395,0,21,0.20833333333333334,0.0,139.99999999999773,0.718187193141116,0.8499890185254458,,,0.718187193141116,0.8499890185254458,0.1500109814745541,0.281812806858884,0.9674014658411585,1,0.9674014658411585,1,0.9674014658411585,1,0,0.03259853415884162,0,0.03259853415884162
Candidate 2,MEMORY,144,144,0,108,0.75,0.75,0,0,,1.0,0.75,0.0,300.0,108,1.0,108,0,1.0,1.0,1.0,0.0,0,0.0,72,0,0,108,1.0,108,1.0,108,1.0,72,0,36,0.8528139011215555,0.8576394372636041,0.0,0.003580562284607564,0,0,0.0,0.0,300.0,0.6734032433458373,0.8136049380826443,,,0.9656526402534428,0.9999999999999999,0,0.034347359746557025,0.9656526402534428,0.9999999999999999,0.9656526402534428,0.9999999999999999,0.9656526402534428,0.9999999999999999,0,0.034347359746557025,0,0.034347359746557025
Candidate 2,TIMING,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,144,1.0,144,0,1.0,1.0,1.0,0.0,0,0.0,82,0,0,144,1.0,120,1.0,82,1.0,82,0,0,0.7874265475714514,0.7922580933452986,0.0,7.735556832828751e-14,0,0,0.0,50.0,100.0,0.9740163628569635,1,,,0.9552493763098998,1,0,0.04475062369010033,0.9740163628569635,1,0.9740163628569635,1,0.9740163628569635,1,0,0.025983637143036746,0,0.025983637143036746
Candidate 2,COMMUNICATION,144,144,0,96,0.6666666666666666,0.6666666666666666,6,0,,1.0,0.6666666666666666,100.0,200.0,96,1.0,96,0,1.0,1.0,1.0,0.0,0,0.0,63,0,0,120,0.7333333333333333,120,0.7333333333333333,69,0.9130434782608695,63,0,0,0.8701424546274861,0.8733541992727569,0.0,0.0,0,0,0.08695652173913043,100.0,200.0,0.5862249854783737,0.7384471354739475,,,0.8229850166105782,0.959536378798466,0.040463621201533975,0.1770149833894218,0.9615244121423243,1,0.9615244121423243,1,0.9615244121423243,1,3.469446951953614e-18,0.038475587857675686,3.469446951953614e-18,0.038475587857675686
Candidate 2,SENSOR_CONTROL,144,144,0,144,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,144,1.0,0,0,0,144,1.0,144,1.0,144,1.0,144,0,0,0.9626120363811805,0.9687101194331111,0.0,0.0,0,0,0.0,,,0.9740163628569635,1,,,0.9740163628569635,1,0,0.025983637143036746,0,0.025983637143036746,,,0,0.025983637143036746,0.9740163628569635,1,0,0.025983637143036746
Candidate 2,ACTUATOR,144,144,0,114,0.7916666666666666,0.7916666666666666,30,0,,1.0,0.7916666666666666,0.0,139.99999999999773,108,0.9473684210526315,108,0,0.9473684210526315,0.9473684210526315,1.0,0.0,6,0.05263157894736842,108,0,0,144,0.7916666666666666,144,0.7916666666666666,144,0.7916666666666666,108,0,6,0.9151654266845763,0.9241815145545555,0.0,0.0023215303285294554,0,0,0.20833333333333334,0.0,209.9999999999966,0.718187193141116,0.8499890185254458,,,0.718187193141116,0.8499890185254458,0.1500109814745541,0.281812806858884,0.8899118941026302,0.9756578384920905,0.9656526402534428,0.9999999999999999,0.8899118941026302,0.9756578384920905,0.024342161507909528,0.11008810589736981,0,0.03259853415884162
