cohort,quantity,n,mean,p05,median,p95
MEMORY,mean_anomaly_ignorance,144,0.8528139011215555,0.253955037469,0.9646683569250001,1.0
MEMORY,mean_origin_ignorance,144,0.8529147901093889,0.253955037469,0.9646683569250001,1.0
MEMORY,mean_detection_conflict,144,0.0,0.0,0.0,0.0
MEMORY,mean_localization_conflict,144,0.006602525415071872,0.0,4.01805116453e-34,0.03276693191617992
MEMORY,origin_score_at_alarm,108,0.8783999999863333,0.6351999998401,1.0,1.0
MEMORY,origin_margin_at_alarm,108,0.8479999999787222,0.54399999975105,1.0,1.0
MEMORY,origin_ignorance_at_alarm,108,0.15199999999616667,0.0,0.0,0.456
TIMING,mean_anomaly_ignorance,144,0.7874265475714514,0.254775353024,0.9377815625865,0.995004163197
TIMING,mean_origin_ignorance,144,0.7874265475714514,0.254775353024,0.9377815625865,0.995004163197
TIMING,mean_detection_conflict,144,0.0,0.0,0.0,0.0
TIMING,mean_localization_conflict,144,1.3186231721399346e-13,0.0,1.81514243209e-77,1.23773578238e-12
TIMING,origin_score_at_alarm,144,1.0,1.0,1.0,1.0
TIMING,origin_margin_at_alarm,144,1.0,1.0,1.0,1.0
TIMING,origin_ignorance_at_alarm,144,0.0,0.0,0.0,0.0
COMMUNICATION,mean_anomaly_ignorance,144,0.8701424546274861,0.25406625895105,0.9778085284685001,1.0
COMMUNICATION,mean_origin_ignorance,144,0.8701424546274861,0.25406625895105,0.9778085284685001,1.0
COMMUNICATION,mean_detection_conflict,144,0.0,0.0,0.0,0.0
COMMUNICATION,mean_localization_conflict,144,0.0,0.0,0.0,0.0
COMMUNICATION,origin_score_at_alarm,96,1.0,1.0,1.0,1.0
COMMUNICATION,origin_margin_at_alarm,96,1.0,1.0,1.0,1.0
COMMUNICATION,origin_ignorance_at_alarm,96,0.0,0.0,0.0,0.0
SENSOR_CONTROL,mean_anomaly_ignorance,144,0.9626120363811805,0.8247327246825501,0.984944592591,0.9927631139445
SENSOR_CONTROL,mean_origin_ignorance,144,0.9626120363811805,0.8247327246825501,0.984944592591,0.9927631139445
SENSOR_CONTROL,mean_detection_conflict,144,0.0,0.0,0.0,0.0
SENSOR_CONTROL,mean_localization_conflict,144,0.0,0.0,0.0,0.0
SENSOR_CONTROL,origin_score_at_alarm,144,0.5,0.5,0.5,0.5
SENSOR_CONTROL,origin_margin_at_alarm,144,0.0,0.0,0.0,0.0
SENSOR_CONTROL,origin_ignorance_at_alarm,144,0.0,0.0,0.0,0.0
ACTUATOR,mean_anomaly_ignorance,144,0.9151654266845763,0.7581662682126,0.928951958119,0.9978174689009001
ACTUATOR,mean_origin_ignorance,144,0.9154342331190486,0.7585814587030499,0.929293010921,0.9978174689009001
ACTUATOR,mean_detection_conflict,144,0.0,0.0,0.0,0.0
ACTUATOR,mean_localization_conflict,144,0.004136816473321395,0.0,0.00145028069219,0.014348164328904999
ACTUATOR,origin_score_at_alarm,114,0.9431049757235264,0.6362350930505,1.0,1.0
ACTUATOR,origin_margin_at_alarm,114,0.9288812196536842,0.5452938663133,1.0,1.0
ACTUATOR,origin_ignorance_at_alarm,114,0.07111878034174737,0.0,0.0,0.45470613368669965
NORMAL,mean_anomaly_ignorance,180,0.9996738512208333,0.99836648039035,1.0,1.0
NORMAL,mean_origin_ignorance,180,0.9996738512208333,0.99836648039035,1.0,1.0
NORMAL,mean_detection_conflict,180,0.0,0.0,0.0,0.0
NORMAL,mean_localization_conflict,180,0.0,0.0,0.0,0.0
NORMAL,origin_score_at_alarm,0,,,,
NORMAL,origin_margin_at_alarm,0,,,,
NORMAL,origin_ignorance_at_alarm,0,,,,
benign,mean_anomaly_ignorance,180,0.9996738512208333,0.99836648039035,1.0,1.0
benign,mean_origin_ignorance,180,0.9996738512208333,0.99836648039035,1.0,1.0
benign,mean_detection_conflict,180,0.0,0.0,0.0,0.0
benign,mean_localization_conflict,180,0.0,0.0,0.0,0.0
benign,origin_score_at_alarm,0,,,,
benign,origin_margin_at_alarm,0,,,,
benign,origin_ignorance_at_alarm,0,,,,
faulty,mean_anomaly_ignorance,720,0.87763207327725,0.254787676936,0.9635516788845,1.0
faulty,mean_origin_ignorance,720,0.8777060123617111,0.254787676936,0.963640602611,1.0
faulty,mean_detection_conflict,720,0.0,0.0,0.0,0.0
faulty,mean_localization_conflict,720,0.002147868377705026,0.0,0.0,0.0106866549719
faulty,origin_score_at_alarm,606,0.848813807311891,0.5,1.0,1.0
faulty,origin_margin_at_alarm,606,0.7219083482478911,0.0,1.0,1.0
faulty,origin_ignorance_at_alarm,606,0.040467889370536636,0.0,0.0,0.456
localized,mean_anomaly_ignorance,462,0.8214082954160021,0.253955037469,0.9281257444635,0.995004163197
localized,mean_origin_ignorance,462,0.8215235251580065,0.253955037469,0.9283216694780001,0.995004163197
localized,mean_detection_conflict,462,0.0,0.0,0.0,0.0
localized,mean_localization_conflict,462,0.0033473273418733428,0.0,1.90108751668e-56,0.0137653944375
localized,origin_score_at_alarm,462,0.9575349940065065,0.6352,1.0,1.0
localized,origin_margin_at_alarm,462,0.946918742506974,0.544,1.0,1.0
localized,origin_ignorance_at_alarm,462,0.05308125748602857,0.0,0.0,0.456
unknown,mean_anomaly_ignorance,144,0.9626120363811805,0.8247327246825501,0.984944592591,0.9927631139445
unknown,mean_origin_ignorance,144,0.9626120363811805,0.8247327246825501,0.984944592591,0.9927631139445
unknown,mean_detection_conflict,144,0.0,0.0,0.0,0.0
unknown,mean_localization_conflict,144,0.0,0.0,0.0,0.0
unknown,origin_score_at_alarm,144,0.5,0.5,0.5,0.5
unknown,origin_margin_at_alarm,144,0.0,0.0,0.0,0.0
unknown,origin_ignorance_at_alarm,144,0.0,0.0,0.0,0.0
correct,mean_anomaly_ignorance,462,0.8214082954160021,0.253955037469,0.9281257444635,0.995004163197
correct,mean_origin_ignorance,462,0.8215235251580065,0.253955037469,0.9283216694780001,0.995004163197
correct,mean_detection_conflict,462,0.0,0.0,0.0,0.0
correct,mean_localization_conflict,462,0.0033473273418733428,0.0,1.90108751668e-56,0.0137653944375
correct,origin_score_at_alarm,462,0.9575349940065065,0.6352,1.0,1.0
correct,origin_margin_at_alarm,462,0.946918742506974,0.544,1.0,1.0
correct,origin_ignorance_at_alarm,462,0.05308125748602857,0.0,0.0,0.456
incorrect,mean_anomaly_ignorance,0,,,,
incorrect,mean_origin_ignorance,0,,,,
incorrect,mean_detection_conflict,0,,,,
incorrect,mean_localization_conflict,0,,,,
incorrect,origin_score_at_alarm,0,,,,
incorrect,origin_margin_at_alarm,0,,,,
incorrect,origin_ignorance_at_alarm,0,,,,
