time_ms,detector_state,anomaly_belief,anomaly_plausibility,anomaly_decision_score,anomaly_ignorance,detection_conflict,estimated_origin,origin_score,origin_belief,origin_plausibility,origin_margin,origin_ignorance,localization_conflict,propagation_support,observed_evidence_path,alarm,localization_valid,alarm_timestamp_ms,localization_timestamp_ms,detection_fallback,localization_fallback,timing_evidence,timing_detection_reliability,timing_origin_reliability,communication_evidence,communication_detection_reliability,communication_origin_reliability,memory_control_evidence,memory_control_detection_reliability,memory_control_origin_reliability,sensor_control_evidence,sensor_control_detection_reliability,sensor_control_origin_reliability,actuator_evidence,actuator_detection_reliability,actuator_origin_reliability,plant_evidence,plant_detection_reliability,plant_origin_reliability,detection_K_0,localization_K_0,detection_K_1,localization_K_1,detection_K_2,localization_K_2,detection_K_3,localization_K_3,detection_K_4,localization_K_4,detection_K_5,localization_K_5,detection_K_6,localization_K_6,origin_mass_1,origin_mass_2,origin_mass_3,origin_mass_4,origin_mass_5,origin_mass_6,origin_mass_7,origin_mass_8,origin_mass_9,origin_mass_10,origin_mass_11,origin_mass_12,origin_mass_13,origin_mass_14,origin_mass_15,origin_mass_16,origin_mass_17,origin_mass_18,origin_mass_19,origin_mass_20,origin_mass_21,origin_mass_22,origin_mass_23,origin_mass_24,origin_mass_25,origin_mass_26,origin_mass_27,origin_mass_28,origin_mass_29,origin_mass_30,origin_mass_31,detection_mass_normal,detection_mass_abnormal,detection_mass_ignorance
0,NORMAL,0,1,0,1,0,UNKNOWN,0.20000000000000001,0,1,0,1,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
100,NORMAL,0.015438079833984375,1,0.015438079833984375,0.98456192016601562,0,UNKNOWN,0.20463142395019532,0,1,0,0.98456192016601562,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0.015438079833984375,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015438079833984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98456192016601562,0,0.015438079833984375,0.98456192016601562
200,NORMAL,0.023886806028895084,1,0.023886806028895084,0.97611319397110496,0,UNKNOWN,0.20716604180866854,0,1,0,0.97611319397110496,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0.01168060302734375,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023886806028895084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97611319397110496,0,0.023886806028895084,0.97611319397110496
300,NORMAL,0.026982193114483272,1,0.026982193114483272,0.97301780688551676,0,UNKNOWN,0.20809465793434501,0,1,0,0.97301780688551676,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0.008026123046875,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026982193114483272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97301780688551676,0,0.026982193114483272,0.97301780688551676
400,NORMAL,0.025956341197711313,1,0.025956341197711313,0.97404365880228871,0,UNKNOWN,0.20778690235931341,0,1,0,0.97404365880228871,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0.004467010498046875,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025956341197711313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97404365880228871,0,0.025956341197711313,0.97404365880228871
500,NORMAL,0.021747505460198477,1,0.021747505460198477,0.97825249453980156,0,UNKNOWN,0.20652425163805957,0,1,0,0.97825249453980156,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0.001003265380859375,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021747505460198477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97825249453980156,0,0.021747505460198477,0.97825249453980156
600,NORMAL,0.017398004368158783,1,0.017398004368158783,0.98260199563184125,0,UNKNOWN,0.20521940131044766,0,1,0,0.98260199563184125,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017398004368158783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98260199563184125,0,0.017398004368158783,0.98260199563184125
700,NORMAL,0.013918403494527026,1,0.013918403494527026,0.986081596505473,0,UNKNOWN,0.20417552104835812,0,1,0,0.986081596505473,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013918403494527026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986081596505473,0,0.013918403494527026,0.986081596505473
800,NORMAL,0.011134722795621622,1,0.011134722795621622,0.98886527720437845,0,UNKNOWN,0.20334041683868651,0,1,0,0.98886527720437845,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011134722795621622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98886527720437845,0,0.011134722795621622,0.98886527720437845
900,NORMAL,0.0089077782364972973,1,0.0089077782364972973,0.99109222176350276,0,UNKNOWN,0.20267233347094921,0,1,0,0.99109222176350276,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089077782364972973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99109222176350276,0,0.0089077782364972973,0.99109222176350276
1000,NORMAL,0.0071262225891978379,1,0.0071262225891978379,0.99287377741080218,0,UNKNOWN,0.20213786677675935,0,1,0,0.99287377741080218,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071262225891978379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99287377741080218,0,0.0071262225891978379,0.99287377741080218
