run_id,true_origin_evaluation_only,injected,detected,unknown_at_first_alarm,any_confirmed_unknown,confirmed_unknown_steps,first_unknown_ms,wrong_localized_runtime_steps,diagnostic_path_steps,control_effect,actuator_effect,plant_manifestation,observation_sha256,evidence_sha256,first_alarm_observation_sha256,mixed_origin_equivalence_levels
final_0000,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,cc2351ea72c455fbf21f4133030defaa90ab3db4f4dfb974bc09f8dc4df0a34b,e2f31279d1f5fe956799b55940e27eb0698f1ef71b0828d76caac706b584fa49,d1a4a04c265828be6d4487699ffac4dd5fd629d8dbbdb55454a02a0e6d2ec6d7,
final_0001,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,df9bbc9125471dad2a2863ff6daf4f74da7f907f639a6b5bcf57655182a50953,a4b0e057ab5ee2588041688e2ad0abd665250f3c77831d83c075c8c8656fd59b,ad7038fd6bb0a241debd53c393287ae1708ee0eaf6ac54d82a282518ea1abb5e,
final_0002,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,93c5d2bfc35a822609905bd2017f9bee2fa9c50cc2eae0c5b700ffb0e53ad225,d43f62d1f3ccbaeba6f65d0d401983e53bf0cfe021ba11ffbb556e0caa66f13d,bb32718a618626852036dda355a54b0734d9d6141fec63160f372fd72a3eba5a,
final_0003,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,6881039c0c0c2001f8141f4766e02fda79a9fda0a1438aa8d710efd881df25be,b5138cfe49900cefc14c38e76956a8ad4f5caad9fb7a49a09f450103e56f92e1,78c1c50b5b7297f8f9c5445794b186391638914350f916bec25f8150dae88dcc,
final_0004,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,f21cfdec582a71535c0a4061ae1b6f7d3c281d24c0dc2d30c9f798593981896e,d43f62d1f3ccbaeba6f65d0d401983e53bf0cfe021ba11ffbb556e0caa66f13d,2c87bd58e8545f209deeca3e349fba2dec8669653d99aa23717c4624f14c3b42,
final_0005,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,424ce8de41ca1642f0e6b365de8ba9a1f82b3bc84a428db711ef864a1a405239,b5138cfe49900cefc14c38e76956a8ad4f5caad9fb7a49a09f450103e56f92e1,a93495f6e0fcac0a9e447fe6f7127bafe0057f3b40172157b0f61f793c43acbf,
final_0006,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,1632cf8522db0edb8445512a3a0c95f76b6df6064d32a9fc9f3d0123110ce71c,1fe9c07ffabc3862c529e73f4041abed58bc89881f999e93e1b4e38a3366c17c,9e9d0c3a39ee94e2c69180b97d9670a0ef5d7508979d8fb7e254042cec309df7,
final_0007,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,dc2f2cc46b4bb39c7abe201a33f0c9d5362428b9d40827db28f0003f43d357e7,600dd77ee9832fc30d6cf192287c510f94ba8b517f7aa326f21f3642a5c68b54,2f4074498e958c1d81062dd12026d6ee224a4fd6d58f9f25316a099d044e6370,
final_0008,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,f42dd1e56d819764d9dee162be93aaa1c74861594d5cd7f4126448502eef3adf,aa3971a69271a7e0ddcd84a34e5aa87b9d99cb28e35d4d054176af1c2f3ff116,3bcf22cc31a34ea5bca31bb5fb3b589f5cdba8c3827f94c7de643e5fe06bf3a1,
final_0009,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,67a7a2215f917915bc26b3498df64fdcdd287ed68b02597cd0a62dc6a782ff56,5a6fc827604e014ced118ac915e62d29da5ae95669827b4f142c3bfd3b638a07,3f217352ad9e1a3c3f659fbf3d746558214ff9ff33eb6deb3f27764d04c3cac4,
final_0010,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,4d74335bb19b9024a7d6fd87846228f315c0689cf3ee7b060cea06970535dbea,f653c778d66b08dad2bf6561151547985582c205e004bfa53764c612884e7f25,b96477690c1af03129ce9eec19b099bfec158a54792f48b3934bc2ec44a593de,
final_0011,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,a2fbb1206736bb29f0468a546a2110d944df5a04e9ce43b58f8a7d2d53a787a4,5adc0c9045510e42a782fb2106f82be8424d847c3bcb13e204bdd607d6c1d5d8,c065ba7c762dbf81cc238faf1dceacf768be3e61ca25beb73109743c50bf9604,
final_0012,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,bab7b797fca9f9a2431c5200b2293c7a9f1d98ee80858093ce3e586d24efb595,20757b5509f2dbefd4074df2bcb846eddad06d1540ef81a7f925a070a8f1a63d,bba403fd0f86ce046e9ca0bee69799e437e4dbbfeedf8b73a64d2f939116b4bd,
final_0013,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,86f655c81b254dcbebccbf4c547aa2f1b549aff562001bcdac3b817738e75b7d,046aabcf211735770733561377fb5c66292b6cc758c890185b80bfcd23ff00ef,9275ba3ddb70de04a6e5d2630afa73dfeba01532d7ef1e201b5c41759f9341ad,
final_0014,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,fc6706f889509357ccd097536480ed1d4882b4586a944e3c74f3fa43b7f1cbe1,c6a7dc51e5f6f10eae0742c84ae2551281caecde07cdffae2fb59b500fecc918,a54369974c6c3f9cbb78990a0c96de4f409ab252180dd0a0cdd19ec00bfc20fe,
final_0015,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,f999f3c5b2cf34e150a18d35cb2228b59103efe88ae978325a7b4d9a11a13d3c,22eba8e41a1012b33804d46d42639f177968c03c1a6d96ccff73d325b5712e62,20b51ae8283b71eadca118aef71e6fd66ecb9083362591fb0456f48cf47ebcce,
final_0016,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,456967846ef71db24b04135b9ff867f81eef5770e9011c979e4a8c7202bbab99,6b2d23b32aa4a9b0cf70e96e500ad4598b952939271f3837e588e927e5674882,17dbc77b38175e294bdad3e15b940e355183c44e8cb6353c0c49289513dc27a0,
final_0017,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,f0f79a6d25b290b3b056659e062b214446601ff0b8aeef0f38e40b8f3a29d805,7985aa11d453d8ca4ed9907272c61a8f40cd6006b81e786bd0bd5a8586772f36,cf225f6c6a3ba84bf2b4df221a588cadcfa0a67ecdc046891ea1222ef362a256,
final_0018,MEMORY,1,1,0,1,14,41600,0,0,1,1,1,72f2ee86536db92b99f387dd2c99c2e40c993eafe4ded3a7e4756d45c1b64bb8,efec15d12231968e8876fd6e14251a916d2309705f18250b20b5a48dda387f62,bf55f03b996ea2f449d17fe892cddd5c6c1d8d63e125c38cfd2f2dbef925f674,
final_0019,MEMORY,1,1,0,1,28,83600,0,0,1,1,1,60ee125ab634d9f31a95d0850bcd607dfa4136dc60fb60beb6afe044ed7836bf,de9720023445d20112b5614d26f0494f473253a4dd90ea60a1876c5c6e2a11bf,1bc6a7aef28710284a3c007471ac17f2848d8945aee15a44924d1da02a42fddb,
final_0020,MEMORY,1,1,0,1,32,41700,0,0,1,1,1,e62466db4a7fc61a0539efae97ebec0f23fd3bbcdd03ea43e423e53bc4fcfc2f,b63ec49a95ae758d4be9c91e08353c469c8030ec65bc5ddec9a171653ed1e499,5d1670ad7bdf8cf4a6dafb40281758c58de4e4fa90e5c0e4d6327c2a7a39ba7c,
final_0021,MEMORY,1,1,0,1,32,83700,0,0,1,1,1,1272ef7a69709bfc028013ebe1034dc0076470fcd63e30af779607aabfcb7ba2,045d2a20ababb1a689b955ee8cbe9b595e769642f8566232918e48d374ef4feb,3d3b35438b600c3c54a42ad2f0c8acdfced31422ef38dab95acf602d83ee5c62,
final_0022,MEMORY,1,1,0,1,41,41700,0,0,1,1,1,11fdaf982416d49d6655f3c3f8fbaff3d7ee1d3e7650985e27822a6485d0d966,90a72443668dff4f30b5dc6ebfcb501916c6d50e6c176f0c766322e0161faef2,9506c2266f1d60023f43e210fcc1ea70ad4bf4ba27654c2d6ffd363643d25cb0,
final_0023,MEMORY,1,1,0,1,34,83700,0,0,1,1,1,d1c5a1597d79e918cf2260036e0271c6f4bd6f771faa18bf8b27833e201409b7,4f9835c7d40e5e20ba01198ec4cb6ed8e58123a925bb1c8c899f82995037b436,4ed1434632bccc504967f6e719af00cd760eadafae6694882a24043f395496f5,
final_0024,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,a23b965f636442118717da28bbda6ea90513e24d8d74c05eeea05b0c78a27030,196bbfc3e017bdd109ecb221fdf691cb0f454cb4ade5c70070a28b0deffba607,d1a4a04c265828be6d4487699ffac4dd5fd629d8dbbdb55454a02a0e6d2ec6d7,
final_0025,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,68a6d30e907a2d2bbe36082cbcd286319155c0610097001fd60c5c5e62a73945,bcc4528e656a99d654e4113e55162039b6632ff55a1ba41f2609eb270a2bfd6b,ad7038fd6bb0a241debd53c393287ae1708ee0eaf6ac54d82a282518ea1abb5e,
final_0026,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,a056dbcc4f66bea18149ea26edd96f462e2ee0d055d49e469a3732a8fb8f04d6,8a4bd2f5eba8fb6f16338f5290e05121ac2620b7db682f26a85dd2508966b7e8,bb32718a618626852036dda355a54b0734d9d6141fec63160f372fd72a3eba5a,
final_0027,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,44590c4f0533efec155370bd860a885556aa65fa7dc392613c238b913cb1aea2,549298de5ccda763a5ce90534684e9837797b6f8d2118d38c298e04fc0912002,78c1c50b5b7297f8f9c5445794b186391638914350f916bec25f8150dae88dcc,
final_0028,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,2b3431436f3c67cb279c33a83416924a6cc82a5216ea6253dd388ac14535e352,8a4bd2f5eba8fb6f16338f5290e05121ac2620b7db682f26a85dd2508966b7e8,2c87bd58e8545f209deeca3e349fba2dec8669653d99aa23717c4624f14c3b42,
final_0029,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,590727affb2ed184792386f108220fe0753bd1af27dde85714b4f90e3e516db5,549298de5ccda763a5ce90534684e9837797b6f8d2118d38c298e04fc0912002,a93495f6e0fcac0a9e447fe6f7127bafe0057f3b40172157b0f61f793c43acbf,
final_0030,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,01609c83414a9e33b8bf014c36dda2a8c563b77848be30f19da41843951da3b4,e5b3bf136817ba5cc69831d6f62661fa8cb006dfa40b258fa45bcd4e8ebeaa5c,9e9d0c3a39ee94e2c69180b97d9670a0ef5d7508979d8fb7e254042cec309df7,
final_0031,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,ff1e89eba48f2e82199a65e9b652eb894705f5b59c888b216469322b6dfa461e,f36c9cb76a16f4942adbe2962aca56746727cfde4d162af03bdde362bf2dc101,2f4074498e958c1d81062dd12026d6ee224a4fd6d58f9f25316a099d044e6370,
final_0032,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,dff4b28269e19d3dbecd1bb68b572d03413330a0c3d1025383f8336f1913354d,bcfbd040f773ff7c849615bc4a4634cb29116bdf1be83536886f944a6cf6521c,3bcf22cc31a34ea5bca31bb5fb3b589f5cdba8c3827f94c7de643e5fe06bf3a1,
final_0033,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,576211769e695ad033fa4a3435e60929a9af3494adca7f6ca54fc87b4ca1e7c8,4a93e4f5b3ee0ec96e3b0990323ec5f09c705f4ff51e3f94e8412919d0b106b7,3f217352ad9e1a3c3f659fbf3d746558214ff9ff33eb6deb3f27764d04c3cac4,
final_0034,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,cd664af0f5239c23e0913dfd8d15546f04a9a077b48a00137cbedd112b046209,aca3b71419412c705f93ac827b2b3bbec44d964c1dab6fd664e6ffcbdb16a21a,b96477690c1af03129ce9eec19b099bfec158a54792f48b3934bc2ec44a593de,
final_0035,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,850e96e11626c71d5763ca10106c6f504e93deab01da5e4956bc8f4041cf39a4,ae76a4e78a2f3ffdc2b99fa5d10150e7aac81ad0d4086eb19f7886afa6beba53,c065ba7c762dbf81cc238faf1dceacf768be3e61ca25beb73109743c50bf9604,
final_0036,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,aefc467830b398400417e2fd34e1123c4c8e5930466934befa5f17ef50015d5f,c949598bfc025588de88d2e22069cea130b711eafde4b28c23279ae7449f0565,bba403fd0f86ce046e9ca0bee69799e437e4dbbfeedf8b73a64d2f939116b4bd,
final_0037,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,2bd659fc8ed3d49e04bd5710633623bf007b6237fb238e68ba3cc372d4057dd9,dcf1f5e6cb0caa464987f80f2fccd4e44fafcd14c737046e8e2d18bedb6cbbb9,9275ba3ddb70de04a6e5d2630afa73dfeba01532d7ef1e201b5c41759f9341ad,
final_0038,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,7e90a2cab1b11353e5d3b2f1feeb56273a2510c04ca4d844ad915c3b6459e96b,2db904821bfb79785390b6b7e775bb947ba867cfcd3958c7c71565c1e575795f,a54369974c6c3f9cbb78990a0c96de4f409ab252180dd0a0cdd19ec00bfc20fe,
final_0039,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,4cfb8a1745d9868b5c3e0f781a7b28757732806622ad1928aa2c45abb1eb436a,fba6c40f8250e2cc1de9821e82430427800641457e98d0acc880ac1615ab7bf8,20b51ae8283b71eadca118aef71e6fd66ecb9083362591fb0456f48cf47ebcce,
final_0040,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,8471b330277e5bd5dc8bcd1d81cc29cce9bd123cdd2d6086a3b128ee27982ce0,92a42bd7fee583201affc6a51d8323cbba7907be290232e313dcedc1192f29ad,17dbc77b38175e294bdad3e15b940e355183c44e8cb6353c0c49289513dc27a0,
final_0041,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,3da60b475f9439de1ff632f83fae20ad118b74dfa083aadec49ab49d420abd3f,7e18b8bb3e88c0c2ce3df5d9a71084b0859642f1ff0b11a8fe237c99234dbc96,cf225f6c6a3ba84bf2b4df221a588cadcfa0a67ecdc046891ea1222ef362a256,
final_0042,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,62ef756ca029afec56d7157f72e734094b16adf4785c3479241bc69d15da673c,fd8ba74442d77b402ab4736469a3b4d1f4f4d919da240de98ea289d83c22bf68,bf55f03b996ea2f449d17fe892cddd5c6c1d8d63e125c38cfd2f2dbef925f674,
final_0043,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,f25a8ee32ccdb50daed5e4a91fa33adf07dbbf2a76fcab3a5d40e3faa1af180a,70b4ff202746f3f9849132c742302a5908715a3a1bc17fc73975ac074ecc4511,1bc6a7aef28710284a3c007471ac17f2848d8945aee15a44924d1da02a42fddb,
final_0044,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,3c8d20737b5955cfc8ccc24171d22ac227bd20aeab68db0dda3ae651b5552b67,ffab1cbe5664496fe5cccd094386d909966d409e9615932c7123245c040fa8d2,5d1670ad7bdf8cf4a6dafb40281758c58de4e4fa90e5c0e4d6327c2a7a39ba7c,
final_0045,MEMORY,1,1,0,0,0,-1,0,0,1,1,1,d5423a971349a3c0ebb8ee04079659b857bb342035c26ed663ad49b13ab47f22,e2bacc7adeb09414c62d6850335a991e9c299d96f76f821bc7bf0e31ec26eb5b,3d3b35438b600c3c54a42ad2f0c8acdfced31422ef38dab95acf602d83ee5c62,
final_0046,MEMORY,1,1,0,1,25,32900,0,0,1,1,1,63d1ae335074a2a10d5592906848a826aec8a5f01e697b97dc2fffd709ea9f51,69c82cc064393b674de3b92f3f8ea90ee7d9f51509db4346aa76e69a927f69f3,9506c2266f1d60023f43e210fcc1ea70ad4bf4ba27654c2d6ffd363643d25cb0,
final_0047,MEMORY,1,1,0,1,21,74900,0,0,1,1,1,780a043480626c7d6531413497e26927b144f1d9e82c58c2dd8045b6b2aad973,985df8371c9af64efc0005d23a83eff523a5a55ea3dbe7254753bd8aa0216bdf,4ed1434632bccc504967f6e719af00cd760eadafae6694882a24043f395496f5,
