scenario_id,algorithm,fault_type,fault_start_s,detected,first_detection_s,detection_latency_s,first_dtc_label_from_ecu,ecu_dtc_detection_latency_s,final_safe_state,max_coolant_temp_c,false_positive_count,missed_detection
baseline,threshold,none,n/a,0,n/a,n/a,none,n/a,normal,96.00,0,0
baseline,ewma,none,n/a,0,n/a,n/a,none,n/a,normal,96.00,0,0
baseline,cusum,none,n/a,0,n/a,n/a,none,n/a,normal,96.00,0,0
baseline,thermal_observer,none,n/a,0,n/a,n/a,none,n/a,normal,96.00,0,0
fan_stuck_hot_stress,threshold,fan_stuck_off,78.100,1,78.100,0.000,fan_tracking_fault,0.400,limp_home,114.57,0,0
fan_stuck_hot_stress,ewma,fan_stuck_off,78.100,1,78.400,0.300,fan_tracking_fault,0.400,limp_home,114.57,0,0
fan_stuck_hot_stress,cusum,fan_stuck_off,78.100,1,78.200,0.100,fan_tracking_fault,0.400,limp_home,114.57,0,0
fan_stuck_hot_stress,thermal_observer,fan_stuck_off,78.100,1,97.900,19.800,fan_tracking_fault,0.400,limp_home,114.57,0,0
pump_degraded_only,threshold,pump_degraded,60.000,1,60.100,0.100,pump_tracking_fault,1.000,normal,96.00,0,0
pump_degraded_only,ewma,pump_degraded,60.000,1,60.800,0.800,pump_tracking_fault,1.000,normal,96.00,0,0
pump_degraded_only,cusum,pump_degraded,60.000,1,60.500,0.500,pump_tracking_fault,1.000,normal,96.00,0,0
pump_degraded_only,thermal_observer,pump_degraded,60.000,1,60.900,0.900,pump_tracking_fault,1.000,normal,96.00,0,0
stale_sensor_data_hot_stress,threshold,stale_sensor_data,65.000,1,88.900,23.900,coolant_sensor_rationality,27.000,normal,142.40,0,0
stale_sensor_data_hot_stress,ewma,stale_sensor_data,65.000,1,89.300,24.300,coolant_sensor_rationality,27.000,normal,142.40,0,0
stale_sensor_data_hot_stress,cusum,stale_sensor_data,65.000,1,75.900,10.900,coolant_sensor_rationality,27.000,normal,142.40,0,0
stale_sensor_data_hot_stress,thermal_observer,stale_sensor_data,65.000,1,85.800,20.800,coolant_sensor_rationality,27.000,normal,142.40,0,0
sensor_bias_only,threshold,sensor_bias,30.000,1,30.000,0.000,coolant_sensor_rationality,0.000,normal,96.00,0,0
sensor_bias_only,ewma,sensor_bias,30.000,1,30.100,0.100,coolant_sensor_rationality,0.000,normal,96.00,0,0
sensor_bias_only,cusum,sensor_bias,30.000,1,30.100,0.100,coolant_sensor_rationality,0.000,normal,96.00,0,0
sensor_bias_only,thermal_observer,sensor_bias,30.000,1,30.000,0.000,coolant_sensor_rationality,0.000,normal,96.00,0,0
calibration_memory_corruption,threshold,calibration_memory_corruption,52.000,0,n/a,n/a,cooling_performance_low,39.500,limp_home,108.17,0,1
calibration_memory_corruption,ewma,calibration_memory_corruption,52.000,0,n/a,n/a,cooling_performance_low,39.500,limp_home,108.17,0,1
calibration_memory_corruption,cusum,calibration_memory_corruption,52.000,0,n/a,n/a,cooling_performance_low,39.500,limp_home,108.17,0,1
calibration_memory_corruption,thermal_observer,calibration_memory_corruption,52.000,1,52.700,0.700,cooling_performance_low,39.500,limp_home,108.17,0,0
paper_default_multi_fault,threshold,sensor_bias+pump_degraded+fan_stuck_off,30.000,1,30.000,0.000,coolant_sensor_rationality,0.000,limp_home,92.54,0,0
paper_default_multi_fault,ewma,sensor_bias+pump_degraded+fan_stuck_off,30.000,1,30.100,0.100,coolant_sensor_rationality,0.000,limp_home,92.54,0,0
paper_default_multi_fault,cusum,sensor_bias+pump_degraded+fan_stuck_off,30.000,1,30.100,0.100,coolant_sensor_rationality,0.000,limp_home,92.54,0,0
paper_default_multi_fault,thermal_observer,sensor_bias+pump_degraded+fan_stuck_off,30.000,1,30.000,0.000,coolant_sensor_rationality,0.000,limp_home,92.54,0,0
