run_id,batch_profile,campaign_id,campaign_type,fault_class,fault_type,fault_behavior,fault_parameter,fault_start_time_ms,fault_duration_ms,raw_csv_path,summary_csv_path,simulator_campaign_id,experiment_id,detection_latency_ms,safe_state_latency_ms,max_coolant_temperature_c,safe_mode_duration_ms,final_safe_state,final_dtc
run_000_baseline_reference,quick,baseline,built_in_reference,baseline,none,none,0.000,0,0,results/batch/paper_quick/runs/run_000_baseline_reference.csv,results/batch/paper_quick/runs/run_000_baseline_reference_summary.csv,baseline,baseline,-1,-1,96.00,0,normal,none
run_001_sensor_bias_s20000_d10000_p4p000,quick,sensing_sensor_bias_sweep,custom_single_fault,sensing-path fault,sensor_bias,transient,4.000,20000,10000,results/batch/paper_quick/runs/run_001_sensor_bias_s20000_d10000_p4p000.csv,results/batch/paper_quick/runs/run_001_sensor_bias_s20000_d10000_p4p000_summary.csv,custom,custom_sensor_bias_20000_10000,0,-1,96.00,0,normal,none
run_002_sensor_bias_s20000_d10000_p8p000,quick,sensing_sensor_bias_sweep,custom_single_fault,sensing-path fault,sensor_bias,transient,8.000,20000,10000,results/batch/paper_quick/runs/run_002_sensor_bias_s20000_d10000_p8p000.csv,results/batch/paper_quick/runs/run_002_sensor_bias_s20000_d10000_p8p000_summary.csv,custom,custom_sensor_bias_20000_10000,0,-1,96.00,0,normal,none
run_003_sensor_bias_s20000_d20000_p4p000,quick,sensing_sensor_bias_sweep,custom_single_fault,sensing-path fault,sensor_bias,transient,4.000,20000,20000,results/batch/paper_quick/runs/run_003_sensor_bias_s20000_d20000_p4p000.csv,results/batch/paper_quick/runs/run_003_sensor_bias_s20000_d20000_p4p000_summary.csv,custom,custom_sensor_bias_20000_20000,0,-1,96.00,0,normal,none
run_004_sensor_bias_s20000_d20000_p8p000,quick,sensing_sensor_bias_sweep,custom_single_fault,sensing-path fault,sensor_bias,transient,8.000,20000,20000,results/batch/paper_quick/runs/run_004_sensor_bias_s20000_d20000_p8p000.csv,results/batch/paper_quick/runs/run_004_sensor_bias_s20000_d20000_p8p000_summary.csv,custom,custom_sensor_bias_20000_20000,0,-1,96.00,0,normal,none
run_005_sensor_bias_s40000_d10000_p4p000,quick,sensing_sensor_bias_sweep,custom_single_fault,sensing-path fault,sensor_bias,transient,4.000,40000,10000,results/batch/paper_quick/runs/run_005_sensor_bias_s40000_d10000_p4p000.csv,results/batch/paper_quick/runs/run_005_sensor_bias_s40000_d10000_p4p000_summary.csv,custom,custom_sensor_bias_40000_10000,0,-1,96.00,0,normal,none
run_006_sensor_bias_s40000_d10000_p8p000,quick,sensing_sensor_bias_sweep,custom_single_fault,sensing-path fault,sensor_bias,transient,8.000,40000,10000,results/batch/paper_quick/runs/run_006_sensor_bias_s40000_d10000_p8p000.csv,results/batch/paper_quick/runs/run_006_sensor_bias_s40000_d10000_p8p000_summary.csv,custom,custom_sensor_bias_40000_10000,0,-1,96.00,0,normal,none
run_007_sensor_bias_s40000_d20000_p4p000,quick,sensing_sensor_bias_sweep,custom_single_fault,sensing-path fault,sensor_bias,transient,4.000,40000,20000,results/batch/paper_quick/runs/run_007_sensor_bias_s40000_d20000_p4p000.csv,results/batch/paper_quick/runs/run_007_sensor_bias_s40000_d20000_p4p000_summary.csv,custom,custom_sensor_bias_40000_20000,0,-1,96.00,0,normal,none
run_008_sensor_bias_s40000_d20000_p8p000,quick,sensing_sensor_bias_sweep,custom_single_fault,sensing-path fault,sensor_bias,transient,8.000,40000,20000,results/batch/paper_quick/runs/run_008_sensor_bias_s40000_d20000_p8p000.csv,results/batch/paper_quick/runs/run_008_sensor_bias_s40000_d20000_p8p000_summary.csv,custom,custom_sensor_bias_40000_20000,0,-1,96.00,0,normal,none
run_009_sensor_interface_intermittent_s30000_d10000_p4p000,quick,sensing_sensor_interface_intermittent_sweep,custom_single_fault,sensing-path fault,sensor_interface_intermittent,transient,4.000,30000,10000,results/batch/paper_quick/runs/run_009_sensor_interface_intermittent_s30000_d10000_p4p000.csv,results/batch/paper_quick/runs/run_009_sensor_interface_intermittent_s30000_d10000_p4p000_summary.csv,custom,custom_sensor_interface_intermittent_30000_10000,0,-1,96.00,0,normal,none
run_010_sensor_interface_intermittent_s30000_d10000_p8p000,quick,sensing_sensor_interface_intermittent_sweep,custom_single_fault,sensing-path fault,sensor_interface_intermittent,transient,8.000,30000,10000,results/batch/paper_quick/runs/run_010_sensor_interface_intermittent_s30000_d10000_p8p000.csv,results/batch/paper_quick/runs/run_010_sensor_interface_intermittent_s30000_d10000_p8p000_summary.csv,custom,custom_sensor_interface_intermittent_30000_10000,0,-1,96.00,0,normal,none
run_011_sensor_interface_intermittent_s30000_d25000_p4p000,quick,sensing_sensor_interface_intermittent_sweep,custom_single_fault,sensing-path fault,sensor_interface_intermittent,transient,4.000,30000,25000,results/batch/paper_quick/runs/run_011_sensor_interface_intermittent_s30000_d25000_p4p000.csv,results/batch/paper_quick/runs/run_011_sensor_interface_intermittent_s30000_d25000_p4p000_summary.csv,custom,custom_sensor_interface_intermittent_30000_25000,0,-1,96.00,0,normal,none
run_012_sensor_interface_intermittent_s30000_d25000_p8p000,quick,sensing_sensor_interface_intermittent_sweep,custom_single_fault,sensing-path fault,sensor_interface_intermittent,transient,8.000,30000,25000,results/batch/paper_quick/runs/run_012_sensor_interface_intermittent_s30000_d25000_p8p000.csv,results/batch/paper_quick/runs/run_012_sensor_interface_intermittent_s30000_d25000_p8p000_summary.csv,custom,custom_sensor_interface_intermittent_30000_25000,0,-1,96.00,0,normal,none
